year,oshpd_id,county,hospital,performance_measure,hospital_rating,#_of_cases,#_of_adverse_events,risk_adjusted_rate
2017,106010987,alameda,washington hospital - fremont,cabg operative mortality,average,94.0,1.0,1.22
2017,106010987,alameda,washington hospital - fremont,post-operative stroke,average,157.0,1.0,0.61
2018,106010987,alameda,washington hospital - fremont,cabg operative mortality,average,63.0,2.0,4.06
2018,106010987,alameda,washington hospital - fremont,cabg+valve operative mortality,average,168.0,1.0,13.55
2018,106010987,alameda,washington hospital - fremont,isolated cabg 30-day readmission,average,168.0,18.0,15.48
2018,106010987,alameda,washington hospital - fremont,isolated cabg post-operative stroke,average,168.0,0.0,0.0
2019,106010987,alameda,washington hospital - fremont,cabg+valve operative mortality,average,178.0,1.0,17.95
2019,106010987,alameda,washington hospital - fremont,isolated cabg 30-day readmission,average,178.0,16.0,13.99
2019,106010987,alameda,washington hospital - fremont,isolated cabg operative mortality,average,94.0,2.0,3.35
2019,106010987,alameda,washington hospital - fremont,isolated cabg post-operative stroke,average,178.0,1.0,0.57
2020,106010987,alameda,washington hospital - fremont,isolated cabg operative mortality,average,84.0,4.0,4.84
2013,106010987,alameda,washington hospital  fremont,cabg + valve operative mortality,average,13.0,3.0,15.97
2013,106010987,alameda,washington hospital  fremont,post-operative stroke,average,198.0,4.0,1.98
2014,106010987,alameda,washington hospital  fremont,cabg operative mortality,average,86.0,0.0,0.0
2021,106010987,alameda,washington hospital â fremont,cabg+valve operative mortality,average,208.0,1.0,12.86
2021,106010987,alameda,washington hospital â fremont,isolated cabg 30-day readmission,average,208.0,14.0,11.01
2021,106010987,alameda,washington hospital â fremont,isolated cabg post-operative stroke,average,208.0,1.0,0.56
2022,106010987,alameda,washington hospital â fremont,isolated cabg operative mortality,average,91.0,2.0,2.9
2016,106040962,butte,enloe medical center - esplanade,cabg + valve operative mortality,average,29.0,1.0,4.75
2016,106040962,butte,enloe medical center - esplanade,post-operative stroke,average,304.0,3.0,1.01
2017,106040962,butte,enloe medical center - esplanade,cabg + valve operative mortality,average,34.0,2.0,6.86
2017,106040962,butte,enloe medical center - esplanade,cabg 30-day readmission,average,287.0,40.0,14.06
2017,106040962,butte,enloe medical center - esplanade,cabg operative mortality,average,155.0,3.0,2.1
2017,106040962,butte,enloe medical center - esplanade,post-operative stroke,average,303.0,2.0,0.77
2018,106040962,butte,enloe medical center - esplanade,cabg operative mortality,average,148.0,3.0,2.37
2018,106040962,butte,enloe medical center - esplanade,cabg+valve operative mortality,average,331.0,2.0,5.6
2018,106040962,butte,enloe medical center - esplanade,isolated cabg 30-day readmission,average,331.0,44.0,16.63
2018,106040962,butte,enloe medical center - esplanade,isolated cabg post-operative stroke,average,331.0,5.0,1.97
2019,106040962,butte,enloe medical center - esplanade,cabg+valve operative mortality,average,276.0,2.0,6.19
2019,106040962,butte,enloe medical center - esplanade,isolated cabg 30-day readmission,average,276.0,28.0,13.85
2019,106040962,butte,enloe medical center - esplanade,isolated cabg operative mortality,average,153.0,6.0,3.96
2019,106040962,butte,enloe medical center - esplanade,isolated cabg post-operative stroke,average,276.0,6.0,2.56
2020,106040962,butte,enloe medical center - esplanade,isolated cabg operative mortality,average,123.0,4.0,3.19
2014,106040962,butte,enloe medical center - esplanade campus,30-day readmission,average,257.0,32.0,12.58
2014,106040962,butte,enloe medical center - esplanade campus,cabg + valve operative mortality,average,32.0,4.0,12.04
2014,106040962,butte,enloe medical center - esplanade campus,post-operative stroke,average,276.0,5.0,1.88
2015,106040962,butte,enloe medical center - esplanade campus,cabg + valve operative mortality,average,31.0,3.0,9.05
2015,106040962,butte,enloe medical center - esplanade campus,cabg 30-day readmission,average,278.0,34.0,12.55
2015,106040962,butte,enloe medical center - esplanade campus,cabg operative mortality,average,146.0,6.0,4.0
2015,106040962,butte,enloe medical center - esplanade campus,post-operative stroke,average,295.0,4.0,1.44
2016,106040962,butte,enloe medical center - esplanade campus,cabg operative mortality,average,149.0,3.0,2.41
2011,106040962,butte,enloe medical center esplanade campus,post-operative stroke,average,281.0,2.0,0.76
2012,106040962,butte,enloe medical center esplanade campus,30-day readmission,average,129.0,19.0,15.9
2012,106040962,butte,enloe medical center esplanade campus,operative mortality,average,132.0,1.0,0.78
2013,106040962,butte,enloe medical center esplanade campus,30-day readmission,average,115.0,11.0,10.97
2013,106040962,butte,enloe medical center esplanade campus,cabg + valve operative mortality,average,35.0,1.0,4.87
2013,106040962,butte,enloe medical center esplanade campus,cabg operative mortality,average,121.0,4.0,3.68
2013,106040962,butte,enloe medical center esplanade campus,post-operative stroke,average,253.0,2.0,0.88
2013,106040962,butte,enloe medical center  esplanade campus,cabg + valve operative mortality,average,35.0,2.0,10.5
2013,106040962,butte,enloe medical center  esplanade campus,post-operative stroke,average,251.0,4.0,1.71
2014,106040962,butte,enloe medical center  esplanade campus,cabg operative mortality,average,130.0,2.0,1.3
2021,106040962,butte,enloe medical centerâ esplanade,cabg+valve operative mortality,average,273.0,0.0,0.0
2021,106040962,butte,enloe medical centerâ esplanade,isolated cabg 30-day readmission,average,273.0,23.0,10.9
2021,106040962,butte,enloe medical centerâ esplanade,isolated cabg post-operative stroke,average,273.0,7.0,3.03
2022,106040962,butte,enloe medical centerâ esplanade,isolated cabg operative mortality,average,127.0,4.0,3.57
2011,106071018,contra costa,john muir medical center - concord campus,post-operative stroke,average,425.0,4.0,1.04
2012,106071018,contra costa,john muir medical center - concord campus,30-day readmission,better,202.0,11.0,5.63
2012,106071018,contra costa,john muir medical center - concord campus,operative mortality,average,218.0,3.0,1.63
2013,106071018,contra costa,john muir medical center - concord campus,30-day readmission,average,189.0,17.0,9.35
2013,106071018,contra costa,john muir medical center - concord campus,cabg + valve operative mortality,average,68.0,5.0,8.01
2013,106071018,contra costa,john muir medical center - concord campus,cabg operative mortality,average,207.0,1.0,0.54
2013,106071018,contra costa,john muir medical center - concord campus,post-operative stroke,average,425.0,3.0,0.82
2014,106071018,contra costa,john muir medical center - concord campus,30-day readmission,average,345.0,38.0,11.37
2014,106071018,contra costa,john muir medical center - concord campus,cabg + valve operative mortality,average,65.0,1.0,1.77
2014,106071018,contra costa,john muir medical center - concord campus,post-operative stroke,average,392.0,7.0,1.86
2015,106071018,contra costa,john muir medical center - concord campus,cabg + valve operative mortality,average,66.0,2.0,3.82
2015,106071018,contra costa,john muir medical center - concord campus,cabg 30-day readmission,average,332.0,41.0,12.26
2015,106071018,contra costa,john muir medical center - concord campus,cabg operative mortality,average,186.0,3.0,1.61
2015,106071018,contra costa,john muir medical center - concord campus,post-operative stroke,average,377.0,8.0,2.11
2016,106071018,contra costa,john muir medical center - concord campus,cabg + valve operative mortality,average,64.0,3.0,5.7
2016,106071018,contra costa,john muir medical center - concord campus,cabg operative mortality,better,191.0,0.0,0.0
2016,106071018,contra costa,john muir medical center - concord campus,post-operative stroke,average,374.0,4.0,0.96
2017,106071018,contra costa,john muir medical center - concord campus,cabg + valve operative mortality,average,60.0,2.0,3.59
2017,106071018,contra costa,john muir medical center - concord campus,cabg 30-day readmission,average,313.0,27.0,7.99
2017,106071018,contra costa,john muir medical center - concord campus,cabg operative mortality,average,183.0,3.0,1.36
2017,106071018,contra costa,john muir medical center - concord campus,post-operative stroke,average,365.0,5.0,1.19
2018,106071018,contra costa,john muir medical center - concord campus,cabg operative mortality,average,182.0,2.0,0.99
2018,106071018,contra costa,john muir medical center - concord campus,cabg+valve operative mortality,average,443.0,3.0,7.05
2018,106071018,contra costa,john muir medical center - concord campus,isolated cabg 30-day readmission,better,443.0,21.0,6.31
2018,106071018,contra costa,john muir medical center - concord campus,isolated cabg post-operative stroke,average,443.0,9.0,2.43
2019,106071018,contra costa,john muir medical center - concord campus,cabg+valve operative mortality,average,441.0,3.0,5.62
2019,106071018,contra costa,john muir medical center - concord campus,isolated cabg 30-day readmission,average,441.0,29.0,8.84
2019,106071018,contra costa,john muir medical center - concord campus,isolated cabg operative mortality,better,216.0,0.0,0.0
2019,106071018,contra costa,john muir medical center - concord campus,isolated cabg post-operative stroke,average,441.0,7.0,1.84
2020,106071018,contra costa,john muir medical center - concord campus,isolated cabg operative mortality,average,225.0,3.0,1.33
2013,106071018,contra costa,john muir medical center  concord campus,cabg + valve operative mortality,average,60.0,5.0,8.72
2013,106071018,contra costa,john muir medical center  concord campus,post-operative stroke,average,413.0,2.0,0.48
2014,106071018,contra costa,john muir medical center  concord campus,cabg operative mortality,average,206.0,1.0,0.46
2021,106071018,contra costa,john muir medical center â concord campus,cabg+valve operative mortality,average,538.0,2.0,3.69
2021,106071018,contra costa,john muir medical center â concord campus,isolated cabg 30-day readmission,average,538.0,32.0,8.51
2021,106071018,contra costa,john muir medical center â concord campus,isolated cabg post-operative stroke,average,538.0,4.0,0.84
2022,106071018,contra costa,john muir medical center â concord campus,isolated cabg operative mortality,better,280.0,1.0,0.37
2011,106074017,contra costa,san ramon regional medical center,post-operative stroke,average,64.0,0.0,0.0
2012,106074017,contra costa,san ramon regional medical center,30-day readmission,average,31.0,0.0,0.0
2012,106074017,contra costa,san ramon regional medical center,operative mortality,average,33.0,0.0,0.0
2013,106074017,contra costa,san ramon regional medical center,30-day readmission,average,17.0,1.0,8.74
2013,106074017,contra costa,san ramon regional medical center,cabg + valve operative mortality,average,8.0,2.0,26.57
2013,106074017,contra costa,san ramon regional medical center,cabg operative mortality,average,19.0,0.0,0.0
2013,106074017,contra costa,san ramon regional medical center,post-operative stroke,average,43.0,0.0,0.0
2014,106074017,contra costa,san ramon regional medical center,30-day readmission,average,44.0,7.0,17.47
2014,106074017,contra costa,san ramon regional medical center,cabg + valve operative mortality,average,6.0,1.0,19.19
2014,106074017,contra costa,san ramon regional medical center,cabg operative mortality,average,24.0,0.0,0.0
2014,106074017,contra costa,san ramon regional medical center,post-operative stroke,average,47.0,0.0,0.0
2015,106074017,contra costa,san ramon regional medical center,cabg + valve operative mortality,average,5.0,0.0,0.0
2015,106074017,contra costa,san ramon regional medical center,cabg 30-day readmission,average,37.0,8.0,21.61
2015,106074017,contra costa,san ramon regional medical center,cabg operative mortality,average,23.0,0.0,0.0
2015,106074017,contra costa,san ramon regional medical center,post-operative stroke,average,38.0,0.0,0.0
2016,106074017,contra costa,san ramon regional medical center,cabg + valve operative mortality,average,3.0,0.0,0.0
2016,106074017,contra costa,san ramon regional medical center,cabg operative mortality,average,15.0,0.0,0.0
2016,106074017,contra costa,san ramon regional medical center,post-operative stroke,average,37.0,1.0,3.55
2017,106074017,contra costa,san ramon regional medical center,cabg + valve operative mortality,average,9.0,0.0,0.0
2017,106074017,contra costa,san ramon regional medical center,cabg 30-day readmission,average,35.0,3.0,11.15
2017,106074017,contra costa,san ramon regional medical center,cabg operative mortality,average,22.0,0.0,0.0
2017,106074017,contra costa,san ramon regional medical center,post-operative stroke,average,41.0,2.0,6.33
2018,106074017,contra costa,san ramon regional medical center,cabg operative mortality,average,19.0,1.0,3.98
2018,106074017,contra costa,san ramon regional medical center,cabg+valve operative mortality,average,71.0,0.0,0.0
2018,106074017,contra costa,san ramon regional medical center,isolated cabg 30-day readmission,average,71.0,4.0,11.01
2018,106074017,contra costa,san ramon regional medical center,isolated cabg post-operative stroke,average,71.0,1.0,2.08
2019,106074017,contra costa,san ramon regional medical center,cabg+valve operative mortality,average,60.0,0.0,0.0
2019,106074017,contra costa,san ramon regional medical center,isolated cabg 30-day readmission,average,60.0,4.0,11.39
2019,106074017,contra costa,san ramon regional medical center,isolated cabg operative mortality,average,42.0,1.0,3.95
2019,106074017,contra costa,san ramon regional medical center,isolated cabg post-operative stroke,average,60.0,0.0,0.0
2020,106074017,contra costa,san ramon regional medical center,isolated cabg operative mortality,average,18.0,1.0,3.78
2021,106074017,contra costa,san ramon regional medical center,cabg+valve operative mortality,not appplicable,44.0,,
2021,106074017,contra costa,san ramon regional medical center,isolated cabg 30-day readmission,average,44.0,3.0,10.33
2021,106074017,contra costa,san ramon regional medical center,isolated cabg post-operative stroke,average,44.0,0.0,0.0
2022,106074017,contra costa,san ramon regional medical center,isolated cabg operative mortality,average,19.0,0.0,0.0
2011,106100717,fresno,community regional medical center - fresno,post-operative stroke,average,477.0,5.0,0.99
2012,106100717,fresno,community regional medical center - fresno,30-day readmission,average,217.0,38.0,16.49
2012,106100717,fresno,community regional medical center - fresno,operative mortality,average,234.0,7.0,3.0
2013,106100717,fresno,community regional medical center - fresno,30-day readmission,average,194.0,24.0,12.0
2013,106100717,fresno,community regional medical center - fresno,cabg + valve operative mortality,average,48.0,6.0,14.96
2013,106100717,fresno,community regional medical center - fresno,cabg operative mortality,average,213.0,4.0,1.75
2013,106100717,fresno,community regional medical center - fresno,post-operative stroke,average,447.0,3.0,0.65
2014,106100717,fresno,community regional medical center - fresno,30-day readmission,worse,370.0,72.0,17.07
2014,106100717,fresno,community regional medical center - fresno,cabg + valve operative mortality,average,45.0,4.0,6.38
2014,106100717,fresno,community regional medical center - fresno,post-operative stroke,average,404.0,6.0,1.19
2015,106100717,fresno,community regional medical center - fresno,cabg + valve operative mortality,average,40.0,3.0,6.03
2015,106100717,fresno,community regional medical center - fresno,cabg 30-day readmission,average,323.0,57.0,14.63
2015,106100717,fresno,community regional medical center - fresno,cabg operative mortality,average,184.0,3.0,1.13
2015,106100717,fresno,community regional medical center - fresno,post-operative stroke,average,364.0,5.0,1.03
2016,106100717,fresno,community regional medical center - fresno,cabg + valve operative mortality,average,37.0,4.0,9.58
2016,106100717,fresno,community regional medical center - fresno,cabg operative mortality,average,180.0,10.0,4.21
2016,106100717,fresno,community regional medical center - fresno,post-operative stroke,average,353.0,5.0,1.02
2017,106100717,fresno,community regional medical center - fresno,cabg + valve operative mortality,average,25.0,3.0,10.58
2017,106100717,fresno,community regional medical center - fresno,cabg 30-day readmission,average,269.0,48.0,14.02
2017,106100717,fresno,community regional medical center - fresno,cabg operative mortality,average,173.0,9.0,2.91
2017,106100717,fresno,community regional medical center - fresno,post-operative stroke,average,308.0,6.0,1.27
2018,106100717,fresno,community regional medical center - fresno,cabg operative mortality,average,135.0,5.0,2.56
2018,106100717,fresno,community regional medical center - fresno,cabg+valve operative mortality,average,289.0,1.0,5.27
2018,106100717,fresno,community regional medical center - fresno,isolated cabg 30-day readmission,worse,289.0,50.0,17.18
2018,106100717,fresno,community regional medical center - fresno,isolated cabg post-operative stroke,average,289.0,5.0,1.31
2019,106100717,fresno,community regional medical center - fresno,cabg+valve operative mortality,average,215.0,2.0,14.66
2019,106100717,fresno,community regional medical center - fresno,isolated cabg 30-day readmission,worse,214.0,36.0,18.22
2019,106100717,fresno,community regional medical center - fresno,isolated cabg operative mortality,average,140.0,4.0,2.58
2019,106100717,fresno,community regional medical center - fresno,isolated cabg post-operative stroke,average,214.0,4.0,1.63
2020,106100717,fresno,community regional medical center - fresno,isolated cabg operative mortality,average,74.0,4.0,4.05
2013,106100717,fresno,community regional medical center  fresno,cabg + valve operative mortality,average,51.0,2.0,3.48
2013,106100717,fresno,community regional medical center  fresno,post-operative stroke,average,433.0,4.0,0.83
2014,106100717,fresno,community regional medical center  fresno,cabg operative mortality,worse,220.0,13.0,4.91
2021,106100717,fresno,community regional medical center â fresno,cabg+valve operative mortality,average,28.0,0.0,0.0
2021,106100717,fresno,community regional medical center â fresno,isolated cabg 30-day readmission,average,28.0,6.0,22.75
2021,106100717,fresno,community regional medical center â fresno,isolated cabg post-operative stroke,average,28.0,1.0,2.76
2022,106100717,fresno,community regional medical center â fresno,isolated cabg operative mortality,average,26.0,3.0,3.82
2011,106105029,fresno,fresno heart and surgical center,post-operative stroke,average,359.0,4.0,1.31
2012,106105029,fresno,fresno heart and surgical center,30-day readmission,average,182.0,20.0,11.61
2012,106105029,fresno,fresno heart and surgical center,operative mortality,average,187.0,1.0,0.66
2013,106105029,fresno,fresno heart and surgical hospital,30-day readmission,average,129.0,10.0,7.98
2013,106105029,fresno,fresno heart and surgical hospital,cabg + valve operative mortality,average,45.0,3.0,6.99
2013,106105029,fresno,fresno heart and surgical hospital,cabg operative mortality,average,135.0,5.0,2.99
2013,106105029,fresno,fresno heart and surgical hospital,post-operative stroke,average,274.0,2.0,0.65
2014,106105029,fresno,fresno heart and surgical hospital,cabg operative mortality,average,139.0,1.0,0.62
2014,106105029,fresno,fresno heart and surgical hospital,post-operative stroke,average,297.0,1.0,0.33
2015,106105029,fresno,fresno heart and surgical hospital,cabg + valve operative mortality,average,53.0,0.0,0.0
2015,106105029,fresno,fresno heart and surgical hospital,cabg 30-day readmission,average,279.0,29.0,9.93
2015,106105029,fresno,fresno heart and surgical hospital,post-operative stroke,average,368.0,1.0,0.26
2016,106105029,fresno,fresno heart and surgical hospital,cabg + valve operative mortality,average,73.0,6.0,6.25
2016,106105029,fresno,fresno heart and surgical hospital,cabg operative mortality,average,210.0,6.0,3.03
2016,106105029,fresno,fresno heart and surgical hospital,post-operative stroke,average,441.0,2.0,0.43
2017,106105029,fresno,fresno heart and surgical hospital,cabg + valve operative mortality,average,69.0,6.0,7.09
2017,106105029,fresno,fresno heart and surgical hospital,cabg 30-day readmission,average,449.0,39.0,8.66
2017,106105029,fresno,fresno heart and surgical hospital,cabg operative mortality,average,231.0,6.0,2.73
2017,106105029,fresno,fresno heart and surgical hospital,post-operative stroke,better,478.0,2.0,0.42
2018,106105029,fresno,fresno heart and surgical hospital,cabg operative mortality,average,247.0,7.0,3.48
2018,106105029,fresno,fresno heart and surgical hospital,cabg+valve operative mortality,average,587.0,2.0,2.94
2018,106105029,fresno,fresno heart and surgical hospital,isolated cabg 30-day readmission,average,587.0,47.0,9.86
2018,106105029,fresno,fresno heart and surgical hospital,isolated cabg post-operative stroke,average,587.0,8.0,1.65
2019,106105029,fresno,fresno heart and surgical hospital,cabg+valve operative mortality,average,713.0,3.0,4.34
2019,106105029,fresno,fresno heart and surgical hospital,isolated cabg 30-day readmission,better,713.0,52.0,8.42
2019,106105029,fresno,fresno heart and surgical hospital,isolated cabg operative mortality,average,301.0,3.0,0.9
2019,106105029,fresno,fresno heart and surgical hospital,isolated cabg post-operative stroke,average,713.0,11.0,1.82
2020,106105029,fresno,fresno heart and surgical hospital,isolated cabg operative mortality,average,412.0,9.0,2.55
2021,106105029,fresno,fresno heart and surgical hospital,cabg+valve operative mortality,average,920.0,2.0,1.98
2021,106105029,fresno,fresno heart and surgical hospital,isolated cabg 30-day readmission,average,920.0,76.0,10.31
2021,106105029,fresno,fresno heart and surgical hospital,isolated cabg post-operative stroke,average,920.0,9.0,1.03
2022,106105029,fresno,fresno heart and surgical hospital,isolated cabg operative mortality,average,470.0,16.0,2.82
2014,106105029,fresno,fresno heart and surgical hospital*,30-day readmission,average,217.0,20.0,9.25
2014,106105029,fresno,fresno heart and surgical hospital*,cabg + valve operative mortality,average,47.0,1.0,1.68
2015,106105029,fresno,fresno heart and surgical hospital*,cabg operative mortality,average,81.0,2.0,2.23
2013,106100899,fresno,saint agnes medical center,cabg + valve operative mortality,average,92.0,4.0,4.38
2013,106100899,fresno,saint agnes medical center,post-operative stroke,average,452.0,4.0,0.94
