YEAR,COUNTY,HOSPITAL,OSHPDID,Procedure,Volume,Longitude,Latitude
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Pancreatic Resection,.,-122.25743,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,AAA Repair,.,-122.25743,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Pancreatic Resection (Other),.,-122.25743,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Pancreatic Resection (Cancer),.,-122.25743,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,"AAA Repair (Un-ruptured, Endovascular)",.,-122.25743,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,"AAA Repair (Ruptured, Endovascular)",.,-122.25743,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Carotid Endarterectomy,.,-122.25743,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,CABG,.,-122.25743,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,"AAA Repair (Ruptured, Open)",.,-122.25743,37.85645
2016,Alameda,Children’s Hospital and Research Center at Oakland,106010776,"AAA Repair (Un-ruptured, Endovascular)",.,-122.26747,37.83722
2016,Alameda,Children’s Hospital and Research Center at Oakland,106010776,Carotid Endarterectomy,.,-122.26747,37.83722
2016,Alameda,Children’s Hospital and Research Center at Oakland,106010776,"AAA Repair (Un-ruptured, Open)",.,-122.26747,37.83722
2016,Alameda,Children’s Hospital and Research Center at Oakland,106010776,Pancreatic Resection (Cancer),.,-122.26747,37.83722
2016,Alameda,Children’s Hospital and Research Center at Oakland,106010776,Pancreatic Resection (Other),.,-122.26747,37.83722
2016,Alameda,Children’s Hospital and Research Center at Oakland,106010776,"AAA Repair (Ruptured, Endovascular)",.,-122.26747,37.83722
2016,Alameda,Children’s Hospital and Research Center at Oakland,106010776,Esophageal Resection,.,-122.26747,37.83722
2016,Alameda,Children’s Hospital and Research Center at Oakland,106010776,"AAA Repair (Ruptured, Open)",.,-122.26747,37.83722
2016,Alameda,Children’s Hospital and Research Center at Oakland,106010776,Pancreatic Resection,.,-122.26747,37.83722
2016,Alameda,Children’s Hospital and Research Center at Oakland,106010776,AAA Repair,.,-122.26747,37.83722
2016,Alameda,Children’s Hospital and Research Center at Oakland,106010776,CABG,.,-122.26747,37.83722
2016,Alameda,Children’s Hospital and Research Center at Oakland,106010776,PCI,.,-122.26747,37.83722
2016,Alameda,Highland Hospital,106010846,"AAA Repair (Ruptured, Endovascular)",.,-122.23138,37.79925
2016,Alameda,Highland Hospital,106010846,Pancreatic Resection (Other),4,-122.23138,37.79925
2016,Alameda,Highland Hospital,106010846,Carotid Endarterectomy,5,-122.23138,37.79925
2016,Alameda,Highland Hospital,106010846,PCI,141,-122.23138,37.79925
2016,Alameda,Highland Hospital,106010846,CABG,.,-122.23138,37.79925
2016,Alameda,Highland Hospital,106010846,AAA Repair,.,-122.23138,37.79925
2016,Alameda,Highland Hospital,106010846,Pancreatic Resection (Cancer),.,-122.23138,37.79925
2016,Alameda,Highland Hospital,106010846,"AAA Repair (Un-ruptured, Endovascular)",.,-122.23138,37.79925
2016,Alameda,Highland Hospital,106010846,"AAA Repair (Un-ruptured, Open)",.,-122.23138,37.79925
2016,Alameda,Highland Hospital,106010846,Esophageal Resection,5,-122.23138,37.79925
2016,Alameda,Highland Hospital,106010846,Pancreatic Resection,4,-122.23138,37.79925
2016,Alameda,Highland Hospital,106010846,"AAA Repair (Ruptured, Open)",.,-122.23138,37.79925
2016,Alameda,Kindred Hospital – San Francisco Bay Area,106010887,AAA Repair,.,-122.13119,37.71621
2016,Alameda,Kindred Hospital – San Francisco Bay Area,106010887,CABG,.,-122.13119,37.71621
2016,Alameda,Kindred Hospital – San Francisco Bay Area,106010887,"AAA Repair (Ruptured, Open)",.,-122.13119,37.71621
2016,Alameda,Kindred Hospital – San Francisco Bay Area,106010887,Pancreatic Resection,.,-122.13119,37.71621
2016,Alameda,Kindred Hospital – San Francisco Bay Area,106010887,Carotid Endarterectomy,.,-122.13119,37.71621
2016,Alameda,Kindred Hospital – San Francisco Bay Area,106010887,Pancreatic Resection (Cancer),.,-122.13119,37.71621
2016,Alameda,Kindred Hospital – San Francisco Bay Area,106010887,PCI,.,-122.13119,37.71621
2016,Alameda,Kindred Hospital – San Francisco Bay Area,106010887,"AAA Repair (Un-ruptured, Open)",.,-122.13119,37.71621
2016,Alameda,Kindred Hospital – San Francisco Bay Area,106010887,Pancreatic Resection (Other),.,-122.13119,37.71621
2016,Alameda,Kindred Hospital – San Francisco Bay Area,106010887,Esophageal Resection,.,-122.13119,37.71621
2016,Alameda,Kindred Hospital – San Francisco Bay Area,106010887,"AAA Repair (Ruptured, Endovascular)",.,-122.13119,37.71621
2016,Alameda,Kindred Hospital – San Francisco Bay Area,106010887,"AAA Repair (Un-ruptured, Endovascular)",.,-122.13119,37.71621
2016,Alameda,Alta Bates Summit Medical Center,106010937,"AAA Repair (Ruptured, Endovascular)",.,-122.26257,37.82106
2016,Alameda,Alta Bates Summit Medical Center,106010937,Pancreatic Resection,11,-122.26257,37.82106
2016,Alameda,Alta Bates Summit Medical Center,106010937,"AAA Repair (Un-ruptured, Open)",.,-122.26257,37.82106
2016,Alameda,Alta Bates Summit Medical Center,106010937,"AAA Repair (Ruptured, Open)",.,-122.26257,37.82106
2016,Alameda,Alta Bates Summit Medical Center,106010937,Pancreatic Resection (Other),6,-122.26257,37.82106
2016,Alameda,Alta Bates Summit Medical Center,106010937,Esophageal Resection,3,-122.26257,37.82106
2016,Alameda,Alta Bates Summit Medical Center,106010937,AAA Repair,1,-122.26257,37.82106
2016,Alameda,Alta Bates Summit Medical Center,106010937,PCI,392,-122.26257,37.82106
2016,Alameda,Alta Bates Summit Medical Center,106010937,CABG,136,-122.26257,37.82106
2016,Alameda,Alta Bates Summit Medical Center,106010937,Carotid Endarterectomy,12,-122.26257,37.82106
2016,Alameda,Alta Bates Summit Medical Center,106010937,"AAA Repair (Un-ruptured, Endovascular)",1,-122.26257,37.82106
2016,Alameda,Alta Bates Summit Medical Center,106010937,Pancreatic Resection (Cancer),5,-122.26257,37.82106
2016,Alameda,Saint Rose Hospital,106010967,Pancreatic Resection (Other),1,-122.08962,37.63291
2016,Alameda,Saint Rose Hospital,106010967,Pancreatic Resection (Cancer),.,-122.08962,37.63291
2016,Alameda,Saint Rose Hospital,106010967,Esophageal Resection,.,-122.08962,37.63291
2016,Alameda,Saint Rose Hospital,106010967,CABG,.,-122.08962,37.63291
2016,Alameda,Saint Rose Hospital,106010967,"AAA Repair (Ruptured, Endovascular)",1,-122.08962,37.63291
2016,Alameda,Saint Rose Hospital,106010967,AAA Repair,2,-122.08962,37.63291
2016,Alameda,Saint Rose Hospital,106010967,Carotid Endarterectomy,2,-122.08962,37.63291
2016,Alameda,Saint Rose Hospital,106010967,"AAA Repair (Ruptured, Open)",.,-122.08962,37.63291
2016,Alameda,Saint Rose Hospital,106010967,"AAA Repair (Un-ruptured, Endovascular)",1,-122.08962,37.63291
2016,Alameda,Saint Rose Hospital,106010967,"AAA Repair (Un-ruptured, Open)",.,-122.08962,37.63291
2016,Alameda,Saint Rose Hospital,106010967,Pancreatic Resection,1,-122.08962,37.63291
2016,Alameda,Saint Rose Hospital,106010967,PCI,211,-122.08962,37.63291
2016,Alameda,Washington Hospital – Fremont,106010987,PCI,185,-121.98006,37.55847
2016,Alameda,Washington Hospital – Fremont,106010987,Esophageal Resection,4,-121.98006,37.55847
2016,Alameda,Washington Hospital – Fremont,106010987,Pancreatic Resection (Other),.,-121.98006,37.55847
2016,Alameda,Washington Hospital – Fremont,106010987,Carotid Endarterectomy,29,-121.98006,37.55847
2016,Alameda,Washington Hospital – Fremont,106010987,Pancreatic Resection (Cancer),.,-121.98006,37.55847
2016,Alameda,Washington Hospital – Fremont,106010987,"AAA Repair (Un-ruptured, Open)",.,-121.98006,37.55847
2016,Alameda,Washington Hospital – Fremont,106010987,AAA Repair,8,-121.98006,37.55847
2016,Alameda,Washington Hospital – Fremont,106010987,"AAA Repair (Un-ruptured, Endovascular)",8,-121.98006,37.55847
2016,Alameda,Washington Hospital – Fremont,106010987,CABG,102,-121.98006,37.55847
2016,Alameda,Washington Hospital – Fremont,106010987,"AAA Repair (Ruptured, Endovascular)",.,-121.98006,37.55847
2016,Alameda,Washington Hospital – Fremont,106010987,"AAA Repair (Ruptured, Open)",.,-121.98006,37.55847
2016,Alameda,Washington Hospital – Fremont,106010987,Pancreatic Resection,.,-121.98006,37.55847
2016,Alameda,San Leandro Hospital,106013619,"AAA Repair (Ruptured, Endovascular)",1,-122.14067,37.71364
2016,Alameda,San Leandro Hospital,106013619,Pancreatic Resection (Other),.,-122.14067,37.71364
2016,Alameda,San Leandro Hospital,106013619,Pancreatic Resection,.,-122.14067,37.71364
2016,Alameda,San Leandro Hospital,106013619,Carotid Endarterectomy,17,-122.14067,37.71364
2016,Alameda,San Leandro Hospital,106013619,CABG,.,-122.14067,37.71364
2016,Alameda,San Leandro Hospital,106013619,Esophageal Resection,.,-122.14067,37.71364
2016,Alameda,San Leandro Hospital,106013619,PCI,.,-122.14067,37.71364
2016,Alameda,San Leandro Hospital,106013619,AAA Repair,10,-122.14067,37.71364
2016,Alameda,San Leandro Hospital,106013619,"AAA Repair (Ruptured, Open)",.,-122.14067,37.71364
2016,Alameda,San Leandro Hospital,106013619,Pancreatic Resection (Cancer),.,-122.14067,37.71364
2016,Alameda,San Leandro Hospital,106013619,"AAA Repair (Un-ruptured, Open)",.,-122.14067,37.71364
2016,Alameda,San Leandro Hospital,106013619,"AAA Repair (Un-ruptured, Endovascular)",9,-122.14067,37.71364
2016,Alameda,Valleycare Medical Center,106014050,PCI,122,-121.88095,37.69206
2016,Alameda,Valleycare Medical Center,106014050,"AAA Repair (Un-ruptured, Open)",1,-121.88095,37.69206
2016,Alameda,Valleycare Medical Center,106014050,Pancreatic Resection (Other),.,-121.88095,37.69206
2016,Alameda,Valleycare Medical Center,106014050,Esophageal Resection,2,-121.88095,37.69206
2016,Alameda,Valleycare Medical Center,106014050,"AAA Repair (Ruptured, Endovascular)",.,-121.88095,37.69206
2016,Alameda,Valleycare Medical Center,106014050,Carotid Endarterectomy,6,-121.88095,37.69206
2016,Alameda,Valleycare Medical Center,106014050,"AAA Repair (Ruptured, Open)",.,-121.88095,37.69206
2016,Alameda,Valleycare Medical Center,106014050,AAA Repair,3,-121.88095,37.69206
2016,Alameda,Valleycare Medical Center,106014050,Pancreatic Resection (Cancer),.,-121.88095,37.69206
2016,Alameda,Valleycare Medical Center,106014050,Pancreatic Resection,.,-121.88095,37.69206
2016,Alameda,Valleycare Medical Center,106014050,CABG,42,-121.88095,37.69206
2016,Alameda,Valleycare Medical Center,106014050,"AAA Repair (Un-ruptured, Endovascular)",2,-121.88095,37.69206
2016,Alameda,Kaiser Foundation Hospital – Fremont,106014132,Pancreatic Resection (Other),.,-121.97483,37.55055
2016,Alameda,Kaiser Foundation Hospital – Fremont,106014132,Pancreatic Resection,.,-121.97483,37.55055
2016,Alameda,Kaiser Foundation Hospital – Fremont,106014132,Carotid Endarterectomy,.,-121.97483,37.55055
2016,Alameda,Kaiser Foundation Hospital – Fremont,106014132,"AAA Repair (Un-ruptured, Endovascular)",.,-121.97483,37.55055
2016,Alameda,Kaiser Foundation Hospital – Fremont,106014132,CABG,.,-121.97483,37.55055
2016,Alameda,Kaiser Foundation Hospital – Fremont,106014132,PCI,25,-121.97483,37.55055
2016,Alameda,Kaiser Foundation Hospital – Fremont,106014132,"AAA Repair (Ruptured, Endovascular)",.,-121.97483,37.55055
2016,Alameda,Kaiser Foundation Hospital – Fremont,106014132,"AAA Repair (Un-ruptured, Open)",.,-121.97483,37.55055
2016,Alameda,Kaiser Foundation Hospital – Fremont,106014132,"AAA Repair (Ruptured, Open)",1,-121.97483,37.55055
2016,Alameda,Kaiser Foundation Hospital – Fremont,106014132,Esophageal Resection,2,-121.97483,37.55055
2016,Alameda,Kaiser Foundation Hospital – Fremont,106014132,AAA Repair,1,-121.97483,37.55055
2016,Alameda,Kaiser Foundation Hospital – Fremont,106014132,Pancreatic Resection (Cancer),.,-121.97483,37.55055
2016,Alameda,Eden Medical Center,106014233,PCI,1,-122.0874055,37.6983769
2016,Alameda,Eden Medical Center,106014233,AAA Repair,6,-122.0874055,37.6983769
2016,Alameda,Eden Medical Center,106014233,"AAA Repair (Ruptured, Endovascular)",2,-122.0874055,37.6983769
2016,Alameda,Eden Medical Center,106014233,"AAA Repair (Un-ruptured, Endovascular)",4,-122.0874055,37.6983769
2016,Alameda,Eden Medical Center,106014233,"AAA Repair (Ruptured, Open)",.,-122.0874055,37.6983769
2016,Alameda,Eden Medical Center,106014233,Esophageal Resection,1,-122.0874055,37.6983769
2016,Alameda,Eden Medical Center,106014233,Pancreatic Resection (Other),.,-122.0874055,37.6983769
2016,Alameda,Eden Medical Center,106014233,Carotid Endarterectomy,12,-122.0874055,37.6983769
2016,Alameda,Eden Medical Center,106014233,Pancreatic Resection (Cancer),.,-122.0874055,37.6983769
2016,Alameda,Eden Medical Center,106014233,"AAA Repair (Un-ruptured, Open)",.,-122.0874055,37.6983769
2016,Alameda,Eden Medical Center,106014233,Pancreatic Resection,.,-122.0874055,37.6983769
2016,Alameda,Eden Medical Center,106014233,CABG,.,-122.0874055,37.6983769
2016,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Esophageal Resection,11,-122.25791,37.82402
2016,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,PCI,40,-122.25791,37.82402
2016,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Carotid Endarterectomy,16,-122.25791,37.82402
2016,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,AAA Repair,18,-122.25791,37.82402
2016,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,CABG,.,-122.25791,37.82402
2016,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,"AAA Repair (Un-ruptured, Open)",.,-122.25791,37.82402
2016,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,"AAA Repair (Un-ruptured, Endovascular)",15,-122.25791,37.82402
2016,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Pancreatic Resection (Other),37,-122.25791,37.82402
2016,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,"AAA Repair (Ruptured, Endovascular)",3,-122.25791,37.82402
2016,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Pancreatic Resection (Cancer),40,-122.25791,37.82402
2016,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,"AAA Repair (Ruptured, Open)",.,-122.25791,37.82402
2016,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Pancreatic Resection,77,-122.25791,37.82402
2016,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,PCI,.,-122.16917,37.70611
2016,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,Carotid Endarterectomy,36,-122.16917,37.70611
2016,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,CABG,.,-122.16917,37.70611
2016,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,"AAA Repair (Un-ruptured, Open)",5,-122.16917,37.70611
2016,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,Pancreatic Resection (Cancer),1,-122.16917,37.70611
2016,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,AAA Repair,25,-122.16917,37.70611
2016,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,"AAA Repair (Ruptured, Endovascular)",1,-122.16917,37.70611
2016,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,Esophageal Resection,.,-122.16917,37.70611
2016,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,Pancreatic Resection (Other),.,-122.16917,37.70611
2016,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,"AAA Repair (Ruptured, Open)",1,-122.16917,37.70611
2016,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,"AAA Repair (Un-ruptured, Endovascular)",18,-122.16917,37.70611
2016,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,Pancreatic Resection,1,-122.16917,37.70611
2016,Amador,Sutter Amador Hospital,106034002,Esophageal Resection,.,-120.77272,38.34743
2016,Amador,Sutter Amador Hospital,106034002,Carotid Endarterectomy,.,-120.77272,38.34743
2016,Amador,Sutter Amador Hospital,106034002,PCI,.,-120.77272,38.34743
2016,Amador,Sutter Amador Hospital,106034002,CABG,.,-120.77272,38.34743
2016,Amador,Sutter Amador Hospital,106034002,"AAA Repair (Ruptured, Endovascular)",.,-120.77272,38.34743
2016,Amador,Sutter Amador Hospital,106034002,"AAA Repair (Un-ruptured, Open)",.,-120.77272,38.34743
2016,Amador,Sutter Amador Hospital,106034002,"AAA Repair (Un-ruptured, Endovascular)",.,-120.77272,38.34743
2016,Amador,Sutter Amador Hospital,106034002,Pancreatic Resection,.,-120.77272,38.34743
2016,Amador,Sutter Amador Hospital,106034002,AAA Repair,.,-120.77272,38.34743
2016,Amador,Sutter Amador Hospital,106034002,"AAA Repair (Ruptured, Open)",.,-120.77272,38.34743
2016,Amador,Sutter Amador Hospital,106034002,Pancreatic Resection (Other),.,-120.77272,38.34743
2016,Amador,Sutter Amador Hospital,106034002,Pancreatic Resection (Cancer),.,-120.77272,38.34743
2016,Butte,Orchard Hospital,106040802,AAA Repair,.,-121.68955,39.36701
2016,Butte,Orchard Hospital,106040802,"AAA Repair (Un-ruptured, Open)",.,-121.68955,39.36701
2016,Butte,Orchard Hospital,106040802,PCI,.,-121.68955,39.36701
2016,Butte,Orchard Hospital,106040802,CABG,.,-121.68955,39.36701
2016,Butte,Orchard Hospital,106040802,"AAA Repair (Ruptured, Endovascular)",.,-121.68955,39.36701
2016,Butte,Orchard Hospital,106040802,Esophageal Resection,.,-121.68955,39.36701
2016,Butte,Orchard Hospital,106040802,Pancreatic Resection (Other),.,-121.68955,39.36701
2016,Butte,Orchard Hospital,106040802,Pancreatic Resection (Cancer),.,-121.68955,39.36701
2016,Butte,Orchard Hospital,106040802,"AAA Repair (Ruptured, Open)",.,-121.68955,39.36701
2016,Butte,Orchard Hospital,106040802,Pancreatic Resection,.,-121.68955,39.36701
2016,Butte,Orchard Hospital,106040802,"AAA Repair (Un-ruptured, Endovascular)",.,-121.68955,39.36701
2016,Butte,Orchard Hospital,106040802,Carotid Endarterectomy,.,-121.68955,39.36701
2016,Butte,Feather River Hospital,106040875,PCI,.,-121.57228,39.75743
2016,Butte,Feather River Hospital,106040875,"AAA Repair (Un-ruptured, Endovascular)",.,-121.57228,39.75743
2016,Butte,Feather River Hospital,106040875,CABG,.,-121.57228,39.75743
2016,Butte,Feather River Hospital,106040875,Pancreatic Resection (Cancer),.,-121.57228,39.75743
2016,Butte,Feather River Hospital,106040875,AAA Repair,.,-121.57228,39.75743
2016,Butte,Feather River Hospital,106040875,Carotid Endarterectomy,10,-121.57228,39.75743
2016,Butte,Feather River Hospital,106040875,"AAA Repair (Ruptured, Endovascular)",.,-121.57228,39.75743
2016,Butte,Feather River Hospital,106040875,"AAA Repair (Un-ruptured, Open)",.,-121.57228,39.75743
2016,Butte,Feather River Hospital,106040875,"AAA Repair (Ruptured, Open)",.,-121.57228,39.75743
2016,Butte,Feather River Hospital,106040875,Pancreatic Resection (Other),.,-121.57228,39.75743
2016,Butte,Feather River Hospital,106040875,Esophageal Resection,.,-121.57228,39.75743
2016,Butte,Feather River Hospital,106040875,Pancreatic Resection,.,-121.57228,39.75743
2016,Butte,Oroville Hospital,106040937,PCI,.,-121.5428,39.50485
2016,Butte,Oroville Hospital,106040937,"AAA Repair (Un-ruptured, Open)",.,-121.5428,39.50485
2016,Butte,Oroville Hospital,106040937,"AAA Repair (Ruptured, Endovascular)",.,-121.5428,39.50485
2016,Butte,Oroville Hospital,106040937,Carotid Endarterectomy,9,-121.5428,39.50485
2016,Butte,Oroville Hospital,106040937,"AAA Repair (Un-ruptured, Endovascular)",6,-121.5428,39.50485
2016,Butte,Oroville Hospital,106040937,"AAA Repair (Ruptured, Open)",1,-121.5428,39.50485
2016,Butte,Oroville Hospital,106040937,Esophageal Resection,.,-121.5428,39.50485
2016,Butte,Oroville Hospital,106040937,Pancreatic Resection (Other),.,-121.5428,39.50485
2016,Butte,Oroville Hospital,106040937,Pancreatic Resection (Cancer),.,-121.5428,39.50485
2016,Butte,Oroville Hospital,106040937,Pancreatic Resection,.,-121.5428,39.50485
2016,Butte,Oroville Hospital,106040937,AAA Repair,7,-121.5428,39.50485
2016,Butte,Oroville Hospital,106040937,CABG,.,-121.5428,39.50485
2016,Butte,Enloe Medical Center – Esplanade,106040962,Carotid Endarterectomy,61,-121.84918,39.74226
2016,Butte,Enloe Medical Center – Esplanade,106040962,PCI,268,-121.84918,39.74226
2016,Butte,Enloe Medical Center – Esplanade,106040962,CABG,170,-121.84918,39.74226
2016,Butte,Enloe Medical Center – Esplanade,106040962,"AAA Repair (Ruptured, Endovascular)",.,-121.84918,39.74226
2016,Butte,Enloe Medical Center – Esplanade,106040962,"AAA Repair (Un-ruptured, Open)",5,-121.84918,39.74226
2016,Butte,Enloe Medical Center – Esplanade,106040962,"AAA Repair (Un-ruptured, Endovascular)",18,-121.84918,39.74226
2016,Butte,Enloe Medical Center – Esplanade,106040962,AAA Repair,24,-121.84918,39.74226
2016,Butte,Enloe Medical Center – Esplanade,106040962,Pancreatic Resection (Other),.,-121.84918,39.74226
2016,Butte,Enloe Medical Center – Esplanade,106040962,Pancreatic Resection,.,-121.84918,39.74226
2016,Butte,Enloe Medical Center – Esplanade,106040962,Esophageal Resection,.,-121.84918,39.74226
2016,Butte,Enloe Medical Center – Esplanade,106040962,Pancreatic Resection (Cancer),.,-121.84918,39.74226
2016,Butte,Enloe Medical Center – Esplanade,106040962,"AAA Repair (Ruptured, Open)",1,-121.84918,39.74226
2016,Calaveras,Mark Twain Medical Center,106050932,"AAA Repair (Un-ruptured, Endovascular)",.,-120.67095,38.19057
2016,Calaveras,Mark Twain Medical Center,106050932,Pancreatic Resection (Other),.,-120.67095,38.19057
2016,Calaveras,Mark Twain Medical Center,106050932,"AAA Repair (Ruptured, Endovascular)",.,-120.67095,38.19057
2016,Calaveras,Mark Twain Medical Center,106050932,PCI,.,-120.67095,38.19057
2016,Calaveras,Mark Twain Medical Center,106050932,CABG,.,-120.67095,38.19057
2016,Calaveras,Mark Twain Medical Center,106050932,Esophageal Resection,.,-120.67095,38.19057
2016,Calaveras,Mark Twain Medical Center,106050932,"AAA Repair (Un-ruptured, Open)",.,-120.67095,38.19057
2016,Calaveras,Mark Twain Medical Center,106050932,Pancreatic Resection,.,-120.67095,38.19057
2016,Calaveras,Mark Twain Medical Center,106050932,AAA Repair,.,-120.67095,38.19057
2016,Calaveras,Mark Twain Medical Center,106050932,Pancreatic Resection (Cancer),.,-120.67095,38.19057
2016,Calaveras,Mark Twain Medical Center,106050932,Carotid Endarterectomy,.,-120.67095,38.19057
2016,Calaveras,Mark Twain Medical Center,106050932,"AAA Repair (Ruptured, Open)",.,-120.67095,38.19057
2016,Colusa,Colusa Regional Medical Center,106060870,"AAA Repair (Un-ruptured, Open)",.,-122.00034,39.20731
2016,Colusa,Colusa Regional Medical Center,106060870,"AAA Repair (Un-ruptured, Endovascular)",.,-122.00034,39.20731
2016,Colusa,Colusa Regional Medical Center,106060870,"AAA Repair (Ruptured, Open)",.,-122.00034,39.20731
2016,Colusa,Colusa Regional Medical Center,106060870,CABG,.,-122.00034,39.20731
2016,Colusa,Colusa Regional Medical Center,106060870,Carotid Endarterectomy,.,-122.00034,39.20731
2016,Colusa,Colusa Regional Medical Center,106060870,"AAA Repair (Ruptured, Endovascular)",.,-122.00034,39.20731
2016,Colusa,Colusa Regional Medical Center,106060870,PCI,.,-122.00034,39.20731
2016,Colusa,Colusa Regional Medical Center,106060870,Pancreatic Resection (Other),.,-122.00034,39.20731
2016,Colusa,Colusa Regional Medical Center,106060870,AAA Repair,.,-122.00034,39.20731
2016,Colusa,Colusa Regional Medical Center,106060870,Esophageal Resection,.,-122.00034,39.20731
2016,Colusa,Colusa Regional Medical Center,106060870,Pancreatic Resection,.,-122.00034,39.20731
2016,Colusa,Colusa Regional Medical Center,106060870,Pancreatic Resection (Cancer),.,-122.00034,39.20731
2016,Contra Costa,Contra Costa Regional Medical Center,106070924,PCI,.,-122.13101,38.00646
2016,Contra Costa,Contra Costa Regional Medical Center,106070924,AAA Repair,.,-122.13101,38.00646
2016,Contra Costa,Contra Costa Regional Medical Center,106070924,"AAA Repair (Un-ruptured, Open)",.,-122.13101,38.00646
2016,Contra Costa,Contra Costa Regional Medical Center,106070924,"AAA Repair (Ruptured, Open)",.,-122.13101,38.00646
2016,Contra Costa,Contra Costa Regional Medical Center,106070924,Pancreatic Resection (Other),.,-122.13101,38.00646
2016,Contra Costa,Contra Costa Regional Medical Center,106070924,Carotid Endarterectomy,.,-122.13101,38.00646
