year,county,oshpd_id,surgery,#_of_cases,hospital
2020,humboldt,106121002,rectum,1,mad river community hospital
2020,humboldt,106121002,colon,1,mad river community hospital
2020,humboldt,106121002,lung,1,mad river community hospital
2021,humboldt,106121002,rectum,1,mad river community hospital
2021,humboldt,106121002,colon,4,mad river community hospital
2022,humboldt,106121002,colon,7,mad river community hospital
2023,humboldt,106121002,colon,8,mad river community hospital
2013,humboldt,106121051,breast,21,providence redwood memorial hospital
2013,humboldt,106121051,lung,1,providence redwood memorial hospital
2013,humboldt,106121051,colon,4,providence redwood memorial hospital
2014,humboldt,106121051,colon,7,providence redwood memorial hospital
2014,humboldt,106121051,rectum,1,providence redwood memorial hospital
2014,humboldt,106121051,breast,13,providence redwood memorial hospital
2015,humboldt,106121051,rectum,1,providence redwood memorial hospital
2015,humboldt,106121051,colon,5,providence redwood memorial hospital
2015,humboldt,106121051,breast,15,providence redwood memorial hospital
2016,humboldt,106121051,stomach,1,providence redwood memorial hospital
2016,humboldt,106121051,lung,1,providence redwood memorial hospital
2016,humboldt,106121051,colon,4,providence redwood memorial hospital
2016,humboldt,106121051,rectum,2,providence redwood memorial hospital
2016,humboldt,106121051,breast,14,providence redwood memorial hospital
2017,humboldt,106121051,rectum,2,providence redwood memorial hospital
2017,humboldt,106121051,breast,15,providence redwood memorial hospital
2017,humboldt,106121051,colon,9,providence redwood memorial hospital
2018,humboldt,106121051,rectum,3,providence redwood memorial hospital
2018,humboldt,106121051,colon,9,providence redwood memorial hospital
2018,humboldt,106121051,pancreas,1,providence redwood memorial hospital
2018,humboldt,106121051,liver,1,providence redwood memorial hospital
2018,humboldt,106121051,breast,15,providence redwood memorial hospital
2019,humboldt,106121051,rectum,3,providence redwood memorial hospital
2019,humboldt,106121051,colon,8,providence redwood memorial hospital
2019,humboldt,106121051,breast,14,providence redwood memorial hospital
2020,humboldt,106121051,breast,22,providence redwood memorial hospital
2020,humboldt,106121051,colon,12,providence redwood memorial hospital
2020,humboldt,106121051,rectum,4,providence redwood memorial hospital
2021,humboldt,106121051,breast,22,providence redwood memorial hospital
2021,humboldt,106121051,lung,1,providence redwood memorial hospital
2021,humboldt,106121051,colon,1,providence redwood memorial hospital
2021,humboldt,106121051,rectum,3,providence redwood memorial hospital
2022,humboldt,106121051,liver,1,providence redwood memorial hospital
2022,humboldt,106121051,breast,20,providence redwood memorial hospital
2022,humboldt,106121051,colon,8,providence redwood memorial hospital
2023,humboldt,106121051,breast,14,providence redwood memorial hospital
2023,humboldt,106121051,colon,2,providence redwood memorial hospital
2023,humboldt,106121051,liver,1,providence redwood memorial hospital
2023,humboldt,106121051,rectum,2,providence redwood memorial hospital
2013,humboldt,10612108,lung,12,providence st. joseph hospital  eureka
2013,humboldt,10612108,colon,19,providence st. joseph hospital  eureka
2013,humboldt,10612108,bladder,4,providence st. joseph hospital  eureka
2013,humboldt,10612108,rectum,4,providence st. joseph hospital  eureka
2013,humboldt,10612108,brain,2,providence st. joseph hospital  eureka
2013,humboldt,10612108,prostate,4,providence st. joseph hospital  eureka
2013,humboldt,10612108,stomach,2,providence st. joseph hospital  eureka
2013,humboldt,10612108,breast,63,providence st. joseph hospital  eureka
2013,humboldt,10612108,pancreas,3,providence st. joseph hospital  eureka
2014,humboldt,10612108,stomach,5,providence st. joseph hospital  eureka
2014,humboldt,10612108,liver,1,providence st. joseph hospital  eureka
2014,humboldt,10612108,breast,81,providence st. joseph hospital  eureka
2014,humboldt,10612108,brain,5,providence st. joseph hospital  eureka
2014,humboldt,10612108,prostate,7,providence st. joseph hospital  eureka
2014,humboldt,10612108,bladder,2,providence st. joseph hospital  eureka
2014,humboldt,10612108,lung,12,providence st. joseph hospital  eureka
2014,humboldt,10612108,esophagus,1,providence st. joseph hospital  eureka
2014,humboldt,10612108,colon,19,providence st. joseph hospital  eureka
2015,humboldt,10612108,rectum,6,providence st. joseph hospital  eureka
2015,humboldt,10612108,brain,4,providence st. joseph hospital  eureka
2015,humboldt,10612108,colon,9,providence st. joseph hospital  eureka
2015,humboldt,10612108,lung,8,providence st. joseph hospital  eureka
2015,humboldt,10612108,esophagus,2,providence st. joseph hospital  eureka
2015,humboldt,10612108,liver,1,providence st. joseph hospital  eureka
2015,humboldt,10612108,prostate,5,providence st. joseph hospital  eureka
2015,humboldt,10612108,breast,71,providence st. joseph hospital  eureka
2015,humboldt,10612108,stomach,2,providence st. joseph hospital  eureka
2016,humboldt,10612108,rectum,4,providence st. joseph hospital  eureka
2016,humboldt,10612108,pancreas,2,providence st. joseph hospital  eureka
2016,humboldt,10612108,liver,1,providence st. joseph hospital  eureka
2016,humboldt,10612108,prostate,8,providence st. joseph hospital  eureka
2016,humboldt,10612108,colon,17,providence st. joseph hospital  eureka
2016,humboldt,10612108,breast,84,providence st. joseph hospital  eureka
2016,humboldt,10612108,brain,7,providence st. joseph hospital  eureka
2016,humboldt,10612108,lung,12,providence st. joseph hospital  eureka
2017,humboldt,10612108,bladder,3,providence st. joseph hospital  eureka
2017,humboldt,10612108,prostate,11,providence st. joseph hospital  eureka
2017,humboldt,10612108,stomach,2,providence st. joseph hospital  eureka
2017,humboldt,10612108,colon,24,providence st. joseph hospital  eureka
2017,humboldt,10612108,rectum,9,providence st. joseph hospital  eureka
2017,humboldt,10612108,lung,10,providence st. joseph hospital  eureka
2017,humboldt,10612108,pancreas,4,providence st. joseph hospital  eureka
2017,humboldt,10612108,liver,3,providence st. joseph hospital  eureka
2017,humboldt,10612108,breast,73,providence st. joseph hospital  eureka
2018,humboldt,10612108,stomach,1,providence st. joseph hospital  eureka
2018,humboldt,10612108,brain,3,providence st. joseph hospital  eureka
2018,humboldt,10612108,colon,23,providence st. joseph hospital  eureka
2018,humboldt,10612108,prostate,8,providence st. joseph hospital  eureka
2018,humboldt,10612108,lung,8,providence st. joseph hospital  eureka
2018,humboldt,10612108,breast,92,providence st. joseph hospital  eureka
2018,humboldt,10612108,esophagus,1,providence st. joseph hospital  eureka
2018,humboldt,10612108,bladder,2,providence st. joseph hospital  eureka
2018,humboldt,10612108,pancreas,1,providence st. joseph hospital  eureka
2018,humboldt,10612108,rectum,4,providence st. joseph hospital  eureka
2019,humboldt,10612108,esophagus,1,providence st. joseph hospital  eureka
2019,humboldt,10612108,rectum,7,providence st. joseph hospital  eureka
2019,humboldt,10612108,prostate,10,providence st. joseph hospital  eureka
2019,humboldt,10612108,brain,2,providence st. joseph hospital  eureka
2019,humboldt,10612108,colon,16,providence st. joseph hospital  eureka
2019,humboldt,10612108,lung,10,providence st. joseph hospital  eureka
2019,humboldt,10612108,liver,2,providence st. joseph hospital  eureka
2019,humboldt,10612108,bladder,1,providence st. joseph hospital  eureka
2019,humboldt,10612108,breast,69,providence st. joseph hospital  eureka
2019,humboldt,10612108,pancreas,1,providence st. joseph hospital  eureka
2019,humboldt,10612108,stomach,2,providence st. joseph hospital  eureka
2020,humboldt,10612108,liver,3,providence st. joseph hospital  eureka
2020,humboldt,10612108,rectum,5,providence st. joseph hospital  eureka
2020,humboldt,10612108,esophagus,3,providence st. joseph hospital  eureka
2020,humboldt,10612108,prostate,9,providence st. joseph hospital  eureka
2020,humboldt,10612108,brain,4,providence st. joseph hospital  eureka
2020,humboldt,10612108,colon,20,providence st. joseph hospital  eureka
2020,humboldt,10612108,stomach,3,providence st. joseph hospital  eureka
2020,humboldt,10612108,breast,67,providence st. joseph hospital  eureka
2020,humboldt,10612108,pancreas,1,providence st. joseph hospital  eureka
2020,humboldt,10612108,bladder,1,providence st. joseph hospital  eureka
2020,humboldt,10612108,lung,10,providence st. joseph hospital  eureka
2021,humboldt,10612108,breast,57,providence st. joseph hospital  eureka
2021,humboldt,10612108,bladder,1,providence st. joseph hospital  eureka
2021,humboldt,10612108,rectum,4,providence st. joseph hospital  eureka
2021,humboldt,10612108,liver,1,providence st. joseph hospital  eureka
2021,humboldt,10612108,lung,10,providence st. joseph hospital  eureka
2021,humboldt,10612108,prostate,7,providence st. joseph hospital  eureka
2021,humboldt,10612108,esophagus,2,providence st. joseph hospital  eureka
2021,humboldt,10612108,stomach,1,providence st. joseph hospital  eureka
2021,humboldt,10612108,colon,12,providence st. joseph hospital  eureka
2022,humboldt,10612108,lung,9,providence st. joseph hospital  eureka
2022,humboldt,10612108,prostate,4,providence st. joseph hospital  eureka
2022,humboldt,10612108,stomach,2,providence st. joseph hospital  eureka
2022,humboldt,10612108,rectum,6,providence st. joseph hospital  eureka
2022,humboldt,10612108,breast,84,providence st. joseph hospital  eureka
2022,humboldt,10612108,esophagus,3,providence st. joseph hospital  eureka
2022,humboldt,10612108,bladder,1,providence st. joseph hospital  eureka
2022,humboldt,10612108,colon,15,providence st. joseph hospital  eureka
2022,humboldt,10612108,brain,2,providence st. joseph hospital  eureka
2023,humboldt,10612108,breast,95,providence st. joseph hospital  eureka
2023,humboldt,10612108,colon,13,providence st. joseph hospital  eureka
2023,humboldt,10612108,liver,1,providence st. joseph hospital  eureka
2023,humboldt,10612108,lung,11,providence st. joseph hospital  eureka
2023,humboldt,10612108,prostate,4,providence st. joseph hospital  eureka
2023,humboldt,10612108,rectum,4,providence st. joseph hospital  eureka
2023,humboldt,10612108,stomach,3,providence st. joseph hospital  eureka
2013,imperial,106130699,bladder,1,el centro regional medical center
2013,imperial,106130699,brain,1,el centro regional medical center
2013,imperial,106130699,lung,4,el centro regional medical center
2013,imperial,106130699,prostate,18,el centro regional medical center
2013,imperial,106130699,colon,14,el centro regional medical center
2013,imperial,106130699,breast,18,el centro regional medical center
2014,imperial,106130699,stomach,1,el centro regional medical center
2014,imperial,106130699,rectum,1,el centro regional medical center
2014,imperial,106130699,prostate,31,el centro regional medical center
2014,imperial,106130699,breast,19,el centro regional medical center
2014,imperial,106130699,colon,16,el centro regional medical center
2015,imperial,106130699,breast,8,el centro regional medical center
2015,imperial,106130699,bladder,1,el centro regional medical center
2015,imperial,106130699,prostate,27,el centro regional medical center
2015,imperial,106130699,rectum,1,el centro regional medical center
2015,imperial,106130699,stomach,1,el centro regional medical center
2015,imperial,106130699,colon,7,el centro regional medical center
2016,imperial,106130699,colon,8,el centro regional medical center
2016,imperial,106130699,prostate,16,el centro regional medical center
2016,imperial,106130699,breast,21,el centro regional medical center
2016,imperial,106130699,liver,1,el centro regional medical center
2016,imperial,106130699,rectum,2,el centro regional medical center
2017,imperial,106130699,prostate,6,el centro regional medical center
2017,imperial,106130699,breast,14,el centro regional medical center
2017,imperial,106130699,rectum,3,el centro regional medical center
2017,imperial,106130699,colon,6,el centro regional medical center
2017,imperial,106130699,stomach,1,el centro regional medical center
2018,imperial,106130699,breast,14,el centro regional medical center
2018,imperial,106130699,prostate,11,el centro regional medical center
2018,imperial,106130699,stomach,1,el centro regional medical center
2018,imperial,106130699,rectum,5,el centro regional medical center
2018,imperial,106130699,colon,13,el centro regional medical center
2019,imperial,106130699,rectum,3,el centro regional medical center
2019,imperial,106130699,stomach,2,el centro regional medical center
2019,imperial,106130699,bladder,1,el centro regional medical center
2019,imperial,106130699,breast,15,el centro regional medical center
2019,imperial,106130699,colon,10,el centro regional medical center
2019,imperial,106130699,prostate,14,el centro regional medical center
2020,imperial,106130699,colon,15,el centro regional medical center
2020,imperial,106130699,breast,11,el centro regional medical center
2020,imperial,106130699,prostate,17,el centro regional medical center
2020,imperial,106130699,bladder,1,el centro regional medical center
2020,imperial,106130699,rectum,2,el centro regional medical center
2020,imperial,106130699,stomach,3,el centro regional medical center
2021,imperial,106130699,prostate,15,el centro regional medical center
2021,imperial,106130699,colon,16,el centro regional medical center
2021,imperial,106130699,stomach,1,el centro regional medical center
2021,imperial,106130699,liver,1,el centro regional medical center
2021,imperial,106130699,breast,11,el centro regional medical center
2021,imperial,106130699,rectum,6,el centro regional medical center
2022,imperial,106130699,rectum,2,el centro regional medical center
2022,imperial,106130699,breast,15,el centro regional medical center
2022,imperial,106130699,colon,9,el centro regional medical center
2022,imperial,106130699,prostate,11,el centro regional medical center
2022,imperial,106130699,stomach,2,el centro regional medical center
2023,imperial,106130699,breast,9,el centro regional medical center
2023,imperial,106130699,colon,7,el centro regional medical center
2023,imperial,106130699,liver,1,el centro regional medical center
2023,imperial,106130699,prostate,15,el centro regional medical center
2023,imperial,106130699,rectum,3,el centro regional medical center
2023,imperial,106130699,stomach,1,el centro regional medical center
2013,imperial,10613076,prostate,1,pioneers memorial healthcare district
2013,imperial,10613076,breast,12,pioneers memorial healthcare district
2013,imperial,10613076,colon,4,pioneers memorial healthcare district
2013,imperial,10613076,brain,1,pioneers memorial healthcare district
2014,imperial,10613076,prostate,1,pioneers memorial healthcare district
2014,imperial,10613076,colon,8,pioneers memorial healthcare district
2014,imperial,10613076,breast,13,pioneers memorial healthcare district
2014,imperial,10613076,brain,2,pioneers memorial healthcare district
2015,imperial,10613076,breast,11,pioneers memorial healthcare district
2015,imperial,10613076,colon,1,pioneers memorial healthcare district
2016,imperial,10613076,colon,3,pioneers memorial healthcare district
2016,imperial,10613076,brain,2,pioneers memorial healthcare district
2016,imperial,10613076,breast,18,pioneers memorial healthcare district
2017,imperial,10613076,colon,11,pioneers memorial healthcare district
2017,imperial,10613076,brain,5,pioneers memorial healthcare district
2017,imperial,10613076,breast,21,pioneers memorial healthcare district
2018,imperial,10613076,colon,5,pioneers memorial healthcare district
2018,imperial,10613076,breast,38,pioneers memorial healthcare district
2018,imperial,10613076,brain,5,pioneers memorial healthcare district
2018,imperial,10613076,stomach,1,pioneers memorial healthcare district
2018,imperial,10613076,prostate,1,pioneers memorial healthcare district
2018,imperial,10613076,bladder,1,pioneers memorial healthcare district
2019,imperial,10613076,brain,3,pioneers memorial healthcare district
2019,imperial,10613076,stomach,1,pioneers memorial healthcare district
2019,imperial,10613076,pancreas,1,pioneers memorial healthcare district
2019,imperial,10613076,colon,10,pioneers memorial healthcare district
2019,imperial,10613076,breast,26,pioneers memorial healthcare district
2020,imperial,10613076,breast,29,pioneers memorial healthcare district
2020,imperial,10613076,stomach,1,pioneers memorial healthcare district
2020,imperial,10613076,brain,4,pioneers memorial healthcare district
2020,imperial,10613076,rectum,2,pioneers memorial healthcare district
2020,imperial,10613076,prostate,1,pioneers memorial healthcare district
2020,imperial,10613076,colon,4,pioneers memorial healthcare district
2021,imperial,10613076,stomach,1,pioneers memorial healthcare district
2021,imperial,10613076,breast,13,pioneers memorial healthcare district
2021,imperial,10613076,rectum,1,pioneers memorial healthcare district
2021,imperial,10613076,colon,6,pioneers memorial healthcare district
2022,imperial,10613076,colon,1,pioneers memorial healthcare district
2022,imperial,10613076,brain,1,pioneers memorial healthcare district
2022,imperial,10613076,breast,22,pioneers memorial healthcare district
2023,imperial,10613076,breast,12,pioneers memorial healthcare district
2023,imperial,10613076,colon,4,pioneers memorial healthcare district
2023,imperial,10613076,stomach,1,pioneers memorial healthcare district
2013,inyo,106141273,breast,6,northern inyo hospital
2013,inyo,106141273,colon,4,northern inyo hospital
2014,inyo,106141273,prostate,1,northern inyo hospital
2014,inyo,106141273,breast,9,northern inyo hospital
2014,inyo,106141273,colon,5,northern inyo hospital
2015,inyo,106141273,colon,1,northern inyo hospital
2015,inyo,106141273,rectum,1,northern inyo hospital
2015,inyo,106141273,breast,2,northern inyo hospital
2016,inyo,106141273,rectum,1,northern inyo hospital
2016,inyo,106141273,breast,4,northern inyo hospital
2016,inyo,106141273,colon,5,northern inyo hospital
2017,inyo,106141273,colon,4,northern inyo hospital
2017,inyo,106141273,breast,9,northern inyo hospital
2018,inyo,106141273,breast,18,northern inyo hospital
2018,inyo,106141273,rectum,2,northern inyo hospital
2018,inyo,106141273,colon,4,northern inyo hospital
2019,inyo,106141273,breast,20,northern inyo hospital
2019,inyo,106141273,colon,6,northern inyo hospital
2020,inyo,106141273,colon,2,northern inyo hospital
2020,inyo,106141273,breast,7,northern inyo hospital
2021,inyo,106141273,rectum,1,northern inyo hospital
2021,inyo,106141273,prostate,3,northern inyo hospital
2021,inyo,106141273,breast,7,northern inyo hospital
2022,inyo,106141273,breast,6,northern inyo hospital
2022,inyo,106141273,colon,2,northern inyo hospital
2023,inyo,106141273,breast,10,northern inyo hospital
2023,inyo,106141273,colon,3,northern inyo hospital
2013,kern,106150788,rectum,6,adventist health bakersfield
2013,kern,106150788,prostate,13,adventist health bakersfield
2013,kern,106150788,breast,93,adventist health bakersfield
2013,kern,106150788,pancreas,2,adventist health bakersfield
2013,kern,106150788,lung,6,adventist health bakersfield
2013,kern,106150788,colon,48,adventist health bakersfield
2013,kern,106150788,bladder,1,adventist health bakersfield
2013,kern,106150788,brain,13,adventist health bakersfield
2013,kern,106150788,stomach,2,adventist health bakersfield
2014,kern,106150788,brain,15,adventist health bakersfield
2014,kern,106150788,breast,66,adventist health bakersfield
2014,kern,106150788,prostate,23,adventist health bakersfield
2014,kern,106150788,bladder,2,adventist health bakersfield
2014,kern,106150788,lung,6,adventist health bakersfield
2014,kern,106150788,colon,63,adventist health bakersfield
2014,kern,106150788,rectum,16,adventist health bakersfield
2014,kern,106150788,stomach,5,adventist health bakersfield
2015,kern,106150788,brain,7,adventist health bakersfield
2015,kern,106150788,stomach,4,adventist health bakersfield
2015,kern,106150788,breast,78,adventist health bakersfield
2015,kern,106150788,liver,1,adventist health bakersfield
2015,kern,106150788,prostate,16,adventist health bakersfield
2015,kern,106150788,rectum,5,adventist health bakersfield
2015,kern,106150788,colon,31,adventist health bakersfield
2015,kern,106150788,lung,5,adventist health bakersfield
2016,kern,106150788,prostate,7,adventist health bakersfield
2016,kern,106150788,pancreas,1,adventist health bakersfield
2016,kern,106150788,lung,11,adventist health bakersfield
2016,kern,106150788,colon,45,adventist health bakersfield
2016,kern,106150788,brain,6,adventist health bakersfield
2016,kern,106150788,liver,2,adventist health bakersfield
2016,kern,106150788,rectum,10,adventist health bakersfield
2016,kern,106150788,breast,170,adventist health bakersfield
2017,kern,106150788,stomach,3,adventist health bakersfield
2017,kern,106150788,colon,42,adventist health bakersfield
2017,kern,106150788,rectum,11,adventist health bakersfield
2017,kern,106150788,breast,160,adventist health bakersfield
2017,kern,106150788,pancreas,1,adventist health bakersfield
2017,kern,106150788,brain,12,adventist health bakersfield
2017,kern,106150788,lung,7,adventist health bakersfield
2017,kern,106150788,liver,1,adventist health bakersfield
2017,kern,106150788,prostate,25,adventist health bakersfield
2018,kern,106150788,breast,200,adventist health bakersfield
2018,kern,106150788,rectum,16,adventist health bakersfield
2018,kern,106150788,liver,2,adventist health bakersfield
2018,kern,106150788,pancreas,2,adventist health bakersfield
2018,kern,106150788,lung,3,adventist health bakersfield
2018,kern,106150788,colon,49,adventist health bakersfield
2018,kern,106150788,brain,14,adventist health bakersfield
2018,kern,106150788,stomach,5,adventist health bakersfield
2018,kern,106150788,prostate,40,adventist health bakersfield
2019,kern,106150788,colon,44,adventist health bakersfield
2019,kern,106150788,liver,1,adventist health bakersfield
2019,kern,106150788,breast,193,adventist health bakersfield
2019,kern,106150788,lung,4,adventist health bakersfield
2019,kern,106150788,stomach,6,adventist health bakersfield
2019,kern,106150788,prostate,40,adventist health bakersfield
2019,kern,106150788,pancreas,2,adventist health bakersfield
2019,kern,106150788,rectum,5,adventist health bakersfield
2019,kern,106150788,brain,13,adventist health bakersfield
2020,kern,106150788,bladder,1,adventist health bakersfield
2020,kern,106150788,lung,2,adventist health bakersfield
2020,kern,106150788,pancreas,1,adventist health bakersfield
2020,kern,106150788,stomach,1,adventist health bakersfield
2020,kern,106150788,brain,11,adventist health bakersfield
2020,kern,106150788,breast,147,adventist health bakersfield
2020,kern,106150788,colon,36,adventist health bakersfield
2020,kern,106150788,prostate,14,adventist health bakersfield
2020,kern,106150788,rectum,10,adventist health bakersfield
2021,kern,106150788,stomach,1,adventist health bakersfield
2021,kern,106150788,pancreas,2,adventist health bakersfield
2021,kern,106150788,rectum,12,adventist health bakersfield
2021,kern,106150788,bladder,1,adventist health bakersfield
2021,kern,106150788,brain,17,adventist health bakersfield
2021,kern,106150788,lung,3,adventist health bakersfield
2021,kern,106150788,breast,172,adventist health bakersfield
2021,kern,106150788,colon,50,adventist health bakersfield
2021,kern,106150788,prostate,18,adventist health bakersfield
2022,kern,106150788,rectum,12,adventist health bakersfield
2022,kern,106150788,colon,50,adventist health bakersfield
2022,kern,106150788,prostate,3,adventist health bakersfield
2022,kern,106150788,brain,10,adventist health bakersfield
2022,kern,106150788,breast,172,adventist health bakersfield
2022,kern,106150788,lung,2,adventist health bakersfield
2023,kern,106150788,bladder,1,adventist health bakersfield
2023,kern,106150788,brain,7,adventist health bakersfield
2023,kern,106150788,breast,241,adventist health bakersfield
2023,kern,106150788,colon,35,adventist health bakersfield
2023,kern,106150788,liver,1,adventist health bakersfield
2023,kern,106150788,lung,8,adventist health bakersfield
2023,kern,106150788,pancreas,1,adventist health bakersfield
2023,kern,106150788,prostate,4,adventist health bakersfield
2023,kern,106150788,rectum,18,adventist health bakersfield
2023,kern,106150788,stomach,2,adventist health bakersfield
2013,kern,106150706,colon,4,adventist health delano
2013,kern,106150706,rectum,3,adventist health delano
2013,kern,106150706,stomach,1,adventist health delano
2013,kern,106150706,breast,7,adventist health delano
2014,kern,106150706,colon,7,adventist health delano
2014,kern,106150706,breast,2,adventist health delano
2014,kern,106150706,rectum,1,adventist health delano
2014,kern,106150706,stomach,2,adventist health delano
2015,kern,106150706,rectum,1,adventist health delano
2015,kern,106150706,breast,7,adventist health delano
2015,kern,106150706,colon,2,adventist health delano
2016,kern,106150706,colon,6,adventist health delano
2016,kern,106150706,stomach,2,adventist health delano
2016,kern,106150706,breast,7,adventist health delano
2016,kern,106150706,rectum,1,adventist health delano
2017,kern,106150706,prostate,1,adventist health delano
2017,kern,106150706,breast,10,adventist health delano
2017,kern,106150706,colon,5,adventist health delano
2018,kern,106150706,colon,2,adventist health delano
2018,kern,106150706,breast,10,adventist health delano
2019,kern,106150706,colon,2,adventist health delano
2019,kern,106150706,breast,11,adventist health delano
2019,kern,106150706,rectum,1,adventist health delano
2020,kern,106150706,colon,3,adventist health delano
2020,kern,106150706,breast,8,adventist health delano
2021,kern,106150706,breast,6,adventist health delano
2021,kern,106150706,stomach,1,adventist health delano
2021,kern,106150706,colon,5,adventist health delano
2022,kern,106150706,colon,5,adventist health delano
2022,kern,106150706,breast,13,adventist health delano
2019,kern,106154168,rectum,1,adventist health tehachapi valley
2021,kern,106154168,colon,1,adventist health tehachapi valley
2013,kern,106154101,colon,4,bakersfield heart hospital
2013,kern,106154101,breast,2,bakersfield heart hospital
2013,kern,106154101,stomach,1,bakersfield heart hospital
2014,kern,106154101,colon,7,bakersfield heart hospital
2014,kern,106154101,breast,3,bakersfield heart hospital
2014,kern,106154101,lung,1,bakersfield heart hospital
2015,kern,106154101,breast,1,bakersfield heart hospital
2015,kern,106154101,stomach,2,bakersfield heart hospital
2015,kern,106154101,rectum,1,bakersfield heart hospital
2015,kern,106154101,colon,9,bakersfield heart hospital
2016,kern,106154101,prostate,1,bakersfield heart hospital
2016,kern,106154101,colon,6,bakersfield heart hospital
2016,kern,106154101,breast,2,bakersfield heart hospital
2017,kern,106154101,colon,5,bakersfield heart hospital
2017,kern,106154101,breast,4,bakersfield heart hospital
2017,kern,106154101,stomach,1,bakersfield heart hospital
2018,kern,106154101,breast,1,bakersfield heart hospital
2018,kern,106154101,colon,4,bakersfield heart hospital
2018,kern,106154101,liver,1,bakersfield heart hospital
2018,kern,106154101,lung,1,bakersfield heart hospital
2019,kern,106154101,colon,4,bakersfield heart hospital
2019,kern,106154101,rectum,1,bakersfield heart hospital
2020,kern,106154101,colon,12,bakersfield heart hospital
2020,kern,106154101,rectum,1,bakersfield heart hospital
2021,kern,106154101,breast,1,bakersfield heart hospital
2021,kern,106154101,colon,4,bakersfield heart hospital
2022,kern,106154101,rectum,1,bakersfield heart hospital
2022,kern,106154101,colon,6,bakersfield heart hospital
2022,kern,106154101,breast,2,bakersfield heart hospital
2023,kern,106154101,breast,5,bakersfield heart hospital
2023,kern,106154101,colon,6,bakersfield heart hospital
2023,kern,106154101,rectum,3,bakersfield heart hospital
2023,kern,106154101,stomach,1,bakersfield heart hospital
2013,kern,106150722,rectum,8,bakersfield memorial hospital
2013,kern,106150722,prostate,5,bakersfield memorial hospital
2013,kern,106150722,stomach,5,bakersfield memorial hospital
2013,kern,106150722,lung,26,bakersfield memorial hospital
2013,kern,106150722,bladder,1,bakersfield memorial hospital
2013,kern,106150722,brain,15,bakersfield memorial hospital
2013,kern,106150722,colon,34,bakersfield memorial hospital
2013,kern,106150722,breast,61,bakersfield memorial hospital
2014,kern,106150722,breast,57,bakersfield memorial hospital
2014,kern,106150722,prostate,3,bakersfield memorial hospital
2014,kern,106150722,lung,14,bakersfield memorial hospital
2014,kern,106150722,bladder,1,bakersfield memorial hospital
2014,kern,106150722,colon,37,bakersfield memorial hospital
2014,kern,106150722,rectum,10,bakersfield memorial hospital
2014,kern,106150722,stomach,3,bakersfield memorial hospital
2014,kern,106150722,brain,15,bakersfield memorial hospital
2015,kern,106150722,prostate,2,bakersfield memorial hospital
2015,kern,106150722,stomach,2,bakersfield memorial hospital
2015,kern,106150722,lung,8,bakersfield memorial hospital
2015,kern,106150722,brain,7,bakersfield memorial hospital
2015,kern,106150722,colon,43,bakersfield memorial hospital
2015,kern,106150722,rectum,8,bakersfield memorial hospital
2015,kern,106150722,breast,40,bakersfield memorial hospital
2016,kern,106150722,prostate,8,bakersfield memorial hospital
2016,kern,106150722,bladder,2,bakersfield memorial hospital
2016,kern,106150722,brain,16,bakersfield memorial hospital
2016,kern,106150722,colon,45,bakersfield memorial hospital
2016,kern,106150722,lung,16,bakersfield memorial hospital
2016,kern,106150722,rectum,14,bakersfield memorial hospital
2016,kern,106150722,liver,3,bakersfield memorial hospital
2016,kern,106150722,breast,60,bakersfield memorial hospital
2016,kern,106150722,pancreas,1,bakersfield memorial hospital
2016,kern,106150722,stomach,2,bakersfield memorial hospital
2017,kern,106150722,brain,20,bakersfield memorial hospital
2017,kern,106150722,colon,35,bakersfield memorial hospital
2017,kern,106150722,lung,15,bakersfield memorial hospital
2017,kern,106150722,breast,73,bakersfield memorial hospital
2017,kern,106150722,bladder,2,bakersfield memorial hospital
2017,kern,106150722,prostate,11,bakersfield memorial hospital
2017,kern,106150722,rectum,13,bakersfield memorial hospital
2017,kern,106150722,liver,1,bakersfield memorial hospital
2017,kern,106150722,stomach,2,bakersfield memorial hospital
2017,kern,106150722,pancreas,1,bakersfield memorial hospital
2018,kern,106150722,prostate,16,bakersfield memorial hospital
2018,kern,106150722,liver,2,bakersfield memorial hospital
2018,kern,106150722,breast,85,bakersfield memorial hospital
2018,kern,106150722,stomach,4,bakersfield memorial hospital
2018,kern,106150722,colon,36,bakersfield memorial hospital
2018,kern,106150722,brain,17,bakersfield memorial hospital
2018,kern,106150722,lung,7,bakersfield memorial hospital
2018,kern,106150722,rectum,8,bakersfield memorial hospital
2018,kern,106150722,bladder,1,bakersfield memorial hospital
2019,kern,106150722,pancreas,1,bakersfield memorial hospital
2019,kern,106150722,colon,40,bakersfield memorial hospital
2019,kern,106150722,breast,51,bakersfield memorial hospital
2019,kern,106150722,lung,22,bakersfield memorial hospital
2019,kern,106150722,rectum,6,bakersfield memorial hospital
2019,kern,106150722,bladder,2,bakersfield memorial hospital
2019,kern,106150722,brain,18,bakersfield memorial hospital
2019,kern,106150722,stomach,2,bakersfield memorial hospital
2019,kern,106150722,prostate,10,bakersfield memorial hospital
2020,kern,106150722,breast,41,bakersfield memorial hospital
2020,kern,106150722,lung,15,bakersfield memorial hospital
2020,kern,106150722,rectum,9,bakersfield memorial hospital
2020,kern,106150722,colon,31,bakersfield memorial hospital
2020,kern,106150722,stomach,1,bakersfield memorial hospital
2020,kern,106150722,liver,2,bakersfield memorial hospital
