Year,County,Hospital,Hospital ID,Performance Measure,Statewide All PCI Cases,Statewide Elective PCIs ,Statewide Adverse Events,Statewide ObservedAdverse Events Rate (%),Hospital Total PCI Cases,Hospital All/Elective PCI Cases,Hospital Elective PCI Cases,Hospital Primary PCI Cases, Hospital Adverse Events,Hospital ObservedAdverse Events Rate (%), Hospital Expected Adverse Events Rate (%),"Hospital Risk-Adjusted Adverse Events Rate (%, RAAER)",Latitude,Longitude
2022,Riverside,Corona Regional Medical Center – Main,106331152,Elective PCI Mortality,"50,888","19,272",50,0.26,114,45,45,69,0,0,0.16,0,33.87334,-117.5668
2022,Riverside,Corona Regional Medical Center – Main,106331152,Elective PCI Stroke,"50,888","19,272",23,0.12,114,45,45,69,0,0,0.12,0,33.87334,-117.5668
2022,Riverside,Corona Regional Medical Center – Main,106331152,Elective PCI Emergency CABG,"50,888","19,272",N/A,N/A,114,45,45,69,0,N/A,N/A,N/A,33.87334,-117.5668
2022,Riverside,Corona Regional Medical Center – Main,106331152,All PCI Mortality,"50,888","19,272","1,324",2.6,114,114,45,69,4,3.51,1.71,5.33,33.87334,-117.5668
2022,Riverside,Corona Regional Medical Center – Main,106331152,All PCI Stroke,"50,888","19,272",238,0.47,114,114,45,69,0,0,0.35,0,33.87334,-117.5668
2022,Riverside,Corona Regional Medical Center – Main,106331152,All PCI Emergency CABG,"50,888","19,272",N/A,N/A,114,114,45,69,1,N/A,N/A,N/A,33.87334,-117.5668
2022,San Bernardino,Desert Valley Hospital ,106364144,Elective PCI Mortality,"50,888","19,272",50,0.26,270,80,80,190,1,1.25,0.33,0.98,34.47093,-117.29778
2022,San Bernardino,Desert Valley Hospital ,106364144,Elective PCI Stroke,"50,888","19,272",23,0.12,270,80,80,190,0,0,0.13,0,34.47093,-117.29778
2022,San Bernardino,Desert Valley Hospital ,106364144,Elective PCI Emergency CABG,"50,888","19,272",N/A,N/A,270,80,80,190,0,N/A,N/A,N/A,34.47093,-117.29778
2022,San Bernardino,Desert Valley Hospital ,106364144,All PCI Mortality,"50,888","19,272","1,324",2.6,270,270,80,190,9,3.33,1.45,6,34.47093,-117.29778
2022,San Bernardino,Desert Valley Hospital ,106364144,All PCI Stroke,"50,888","19,272",238,0.47,270,270,80,190,0,0,0.44,0,34.47093,-117.29778
2022,San Bernardino,Desert Valley Hospital ,106364144,All PCI Emergency CABG,"50,888","19,272",N/A,N/A,270,270,80,190,0,N/A,N/A,N/A,34.47093,-117.29778
2022,Stanislaus,Emanuel Medical Center ,106500867,Elective PCI Mortality,"50,888","19,272",50,0.26,318,97,97,221,0,0,0.17,0,37.51052,-120.83966
2022,Stanislaus,Emanuel Medical Center ,106500867,Elective PCI Stroke,"50,888","19,272",23,0.12,318,97,97,221,0,0,0.11,0,37.51052,-120.83966
2022,Stanislaus,Emanuel Medical Center ,106500867,Elective PCI Emergency CABG,"50,888","19,272",N/A,N/A,318,97,97,221,0,N/A,N/A,N/A,37.51052,-120.83966
2022,Stanislaus,Emanuel Medical Center ,106500867,All PCI Mortality,"50,888","19,272","1,324",2.6,318,318,97,221,6,1.89,2.75,1.78,37.51052,-120.83966
2022,Stanislaus,Emanuel Medical Center ,106500867,All PCI Stroke,"50,888","19,272",238,0.47,318,318,97,221,1,0.31,0.46,0.32,37.51052,-120.83966
2022,Stanislaus,Emanuel Medical Center ,106500867,All PCI Emergency CABG,"50,888","19,272",N/A,N/A,318,318,97,221,2,N/A,N/A,N/A,37.51052,-120.83966
2022,Alameda,Highland Hospital ,106010846,Elective PCI Mortality,"50,888","19,272",50,0.26,131,13,13,118,0,0,0.22,0,37.79925,-122.23138
2022,Alameda,Highland Hospital ,106010846,Elective PCI Stroke,"50,888","19,272",23,0.12,131,13,13,118,0,0,0.11,0,37.79925,-122.23138
2022,Alameda,Highland Hospital ,106010846,Elective PCI Emergency CABG,"50,888","19,272",N/A,N/A,131,13,13,118,0,N/A,N/A,N/A,37.79925,-122.23138
2022,Alameda,Highland Hospital ,106010846,All PCI Mortality,"50,888","19,272","1,324",2.6,131,131,13,118,5,3.82,5.03,1.97,37.79925,-122.23138
2022,Alameda,Highland Hospital ,106010846,All PCI Stroke,"50,888","19,272",238,0.47,131,131,13,118,0,0,0.55,0,37.79925,-122.23138
2022,Alameda,Highland Hospital ,106010846,All PCI Emergency CABG,"50,888","19,272",N/A,N/A,131,131,13,118,0,N/A,N/A,N/A,37.79925,-122.23138
2022,Riverside,John F. Kennedy Memorial Hospital ,106331216,Elective PCI Mortality,"50,888","19,272",50,0.26,109,8,8,101,0,0,0.1,0,33.70677,-116.23391
2022,Riverside,John F. Kennedy Memorial Hospital ,106331216,Elective PCI Stroke,"50,888","19,272",23,0.12,109,8,8,101,0,0,0.09,0,33.70677,-116.23391
2022,Riverside,John F. Kennedy Memorial Hospital ,106331216,Elective PCI Emergency CABG,"50,888","19,272",N/A,N/A,109,8,8,101,0,N/A,N/A,N/A,33.70677,-116.23391
2022,Riverside,John F. Kennedy Memorial Hospital ,106331216,All PCI Mortality,"50,888","19,272","1,324",2.6,109,109,8,101,3,2.75,4.14,1.73,33.70677,-116.23391
2022,Riverside,John F. Kennedy Memorial Hospital ,106331216,All PCI Stroke,"50,888","19,272",238,0.47,109,109,8,101,1,0.92,0.67,0.65,33.70677,-116.23391
2022,Riverside,John F. Kennedy Memorial Hospital ,106331216,All PCI Emergency CABG,"50,888","19,272",N/A,N/A,109,109,8,101,0,N/A,N/A,N/A,33.70677,-116.23391
2022,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Elective PCI Mortality,"50,888","19,272",50,0.26,269,31,31,238,0,0,0.17,0,37.82402,-122.25791
2022,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Elective PCI Stroke,"50,888","19,272",23,0.12,269,31,31,238,0,0,0.13,0,37.82402,-122.25791
2022,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Elective PCI Emergency CABG,"50,888","19,272",N/A,N/A,269,31,31,238,0,N/A,N/A,N/A,37.82402,-122.25791
2022,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,All PCI Mortality,"50,888","19,272","1,324",2.6,269,269,31,238,11,4.09,3.2,3.32,37.82402,-122.25791
2022,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,All PCI Stroke,"50,888","19,272",238,0.47,269,269,31,238,1,0.37,0.81,0.22,37.82402,-122.25791
2022,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,All PCI Emergency CABG,"50,888","19,272",N/A,N/A,269,269,31,238,0,N/A,N/A,N/A,37.82402,-122.25791
2022,Orange,Kaiser Foundation Hospital – Orange County – Irvine,106304306,Elective PCI Mortality,"50,888","19,272",50,0.26,396,175,175,221,0,0,0.11,0,33.65816,-117.7749
2022,Orange,Kaiser Foundation Hospital – Orange County – Irvine,106304306,Elective PCI Stroke,"50,888","19,272",23,0.12,396,175,175,221,1,0.57,0.1,0.7,33.65816,-117.7749
2022,Orange,Kaiser Foundation Hospital – Orange County – Irvine,106304306,Elective PCI Emergency CABG,"50,888","19,272",N/A,N/A,396,175,175,221,0,N/A,N/A,N/A,33.65816,-117.7749
2022,Orange,Kaiser Foundation Hospital – Orange County – Irvine,106304306,All PCI Mortality,"50,888","19,272","1,324",2.6,396,396,175,221,2,0.51,0.84,1.56,33.65816,-117.7749
2022,Orange,Kaiser Foundation Hospital – Orange County – Irvine,106304306,All PCI Stroke,"50,888","19,272",238,0.47,396,396,175,221,2,0.51,0.27,0.88,33.65816,-117.7749
2022,Orange,Kaiser Foundation Hospital – Orange County – Irvine,106304306,All PCI Emergency CABG,"50,888","19,272",N/A,N/A,396,396,175,221,0,N/A,N/A,N/A,33.65816,-117.7749
2022,Placer,Kaiser Foundation Hospital – Roseville,106314024,Elective PCI Mortality,"50,888","19,272",50,0.26,461,55,55,406,0,0,0.16,0,38.74636,-121.25107
2022,Placer,Kaiser Foundation Hospital – Roseville,106314024,Elective PCI Stroke,"50,888","19,272",23,0.12,461,55,55,406,0,0,0.1,0,38.74636,-121.25107
2022,Placer,Kaiser Foundation Hospital – Roseville,106314024,Elective PCI Emergency CABG,"50,888","19,272",N/A,N/A,461,55,55,406,0,N/A,N/A,N/A,38.74636,-121.25107
2022,Placer,Kaiser Foundation Hospital – Roseville,106314024,All PCI Mortality,"50,888","19,272","1,324",2.6,461,461,55,406,7,1.52,1.59,2.49,38.74636,-121.25107
2022,Placer,Kaiser Foundation Hospital – Roseville,106314024,All PCI Stroke,"50,888","19,272",238,0.47,461,461,55,406,3,0.65,0.43,0.72,38.74636,-121.25107
2022,Placer,Kaiser Foundation Hospital – Roseville,106314024,All PCI Emergency CABG,"50,888","19,272",N/A,N/A,461,461,55,406,1,N/A,N/A,N/A,38.74636,-121.25107
2022,Santa Clara,Kaiser Foundation Hospital – San Jose,106431506,Elective PCI Mortality,"50,888","19,272",50,0.26,197,51,51,146,0,0,0.14,0,37.23924,-121.80269
2022,Santa Clara,Kaiser Foundation Hospital – San Jose,106431506,Elective PCI Stroke,"50,888","19,272",23,0.12,197,51,51,146,0,0,0.09,0,37.23924,-121.80269
2022,Santa Clara,Kaiser Foundation Hospital – San Jose,106431506,Elective PCI Emergency CABG,"50,888","19,272",N/A,N/A,197,51,51,146,0,N/A,N/A,N/A,37.23924,-121.80269
2022,Santa Clara,Kaiser Foundation Hospital – San Jose,106431506,All PCI Mortality,"50,888","19,272","1,324",2.6,197,197,51,146,5,2.54,3.7,1.79,37.23924,-121.80269
2022,Santa Clara,Kaiser Foundation Hospital – San Jose,106431506,All PCI Stroke,"50,888","19,272",238,0.47,197,197,51,146,0,0,0.56,0,37.23924,-121.80269
2022,Santa Clara,Kaiser Foundation Hospital – San Jose,106431506,All PCI Emergency CABG,"50,888","19,272",N/A,N/A,197,197,51,146,0,N/A,N/A,N/A,37.23924,-121.80269
2022,Sacramento,Kaiser Foundation Hospital – South Sacramento,106342344,Elective PCI Mortality,"50,888","19,272",50,0.26,432,57,57,375,0,0,0.17,0,38.47144,-121.42409
2022,Sacramento,Kaiser Foundation Hospital – South Sacramento,106342344,Elective PCI Stroke,"50,888","19,272",23,0.12,432,57,57,375,0,0,0.1,0,38.47144,-121.42409
2022,Sacramento,Kaiser Foundation Hospital – South Sacramento,106342344,Elective PCI Emergency CABG,"50,888","19,272",N/A,N/A,432,57,57,375,0,N/A,N/A,N/A,38.47144,-121.42409
2022,Sacramento,Kaiser Foundation Hospital – South Sacramento,106342344,All PCI Mortality,"50,888","19,272","1,324",2.6,432,432,57,375,17,3.94,4.44,2.3,38.47144,-121.42409
2022,Sacramento,Kaiser Foundation Hospital – South Sacramento,106342344,All PCI Stroke,"50,888","19,272",238,0.47,432,432,57,375,3,0.69,0.61,0.53,38.47144,-121.42409
2022,Sacramento,Kaiser Foundation Hospital – South Sacramento,106342344,All PCI Emergency CABG,"50,888","19,272",N/A,N/A,432,432,57,375,0,N/A,N/A,N/A,38.47144,-121.42409
2022,Contra Costa,Kaiser Foundation Hospital – Walnut Creek,106070990,Elective PCI Mortality,"50,888","19,272",50,0.26,398,99,99,299,0,0,0.15,0,37.8923,-122.05828
2022,Contra Costa,Kaiser Foundation Hospital – Walnut Creek,106070990,Elective PCI Stroke,"50,888","19,272",23,0.12,398,99,99,299,0,0,0.1,0,37.8923,-122.05828
2022,Contra Costa,Kaiser Foundation Hospital – Walnut Creek,106070990,Elective PCI Emergency CABG,"50,888","19,272",N/A,N/A,398,99,99,299,0,N/A,N/A,N/A,37.8923,-122.05828
2022,Contra Costa,Kaiser Foundation Hospital – Walnut Creek,106070990,All PCI Mortality,"50,888","19,272","1,324",2.6,398,398,99,299,5,1.26,1.31,2.5,37.8923,-122.05828
2022,Contra Costa,Kaiser Foundation Hospital – Walnut Creek,106070990,All PCI Stroke,"50,888","19,272",238,0.47,398,398,99,299,1,0.25,0.38,0.31,37.8923,-122.05828
2022,Contra Costa,Kaiser Foundation Hospital – Walnut Creek,106070990,All PCI Emergency CABG,"50,888","19,272",N/A,N/A,398,398,99,299,0,N/A,N/A,N/A,37.8923,-122.05828
2022,Solano,Kaiser Foundation Hospital & Rehab Center – Vallejo,106480989,Elective PCI Mortality,"50,888","19,272",50,0.26,304,76,76,228,0,0,0.15,0,38.12839,-122.24761
2022,Solano,Kaiser Foundation Hospital & Rehab Center – Vallejo,106480989,Elective PCI Stroke,"50,888","19,272",23,0.12,304,76,76,228,0,0,0.12,0,38.12839,-122.24761
2022,Solano,Kaiser Foundation Hospital & Rehab Center – Vallejo,106480989,Elective PCI Emergency CABG,"50,888","19,272",N/A,N/A,304,76,76,228,0,N/A,N/A,N/A,38.12839,-122.24761
2022,Solano,Kaiser Foundation Hospital & Rehab Center – Vallejo,106480989,All PCI Mortality,"50,888","19,272","1,324",2.6,304,304,76,228,3,0.99,1.28,2.01,38.12839,-122.24761
2022,Solano,Kaiser Foundation Hospital & Rehab Center – Vallejo,106480989,All PCI Stroke,"50,888","19,272",238,0.47,304,304,76,228,0,0,0.47,0,38.12839,-122.24761
2022,Solano,Kaiser Foundation Hospital & Rehab Center – Vallejo,106480989,All PCI Emergency CABG,"50,888","19,272",N/A,N/A,304,304,76,228,0,N/A,N/A,N/A,38.12839,-122.24761
2022,Stanislaus,Kaiser Foundation Hospital – Modesto,106504042,Elective PCI Mortality,"50,888","19,272",50,0.26,184,25,25,159,0,0,0.09,0,37.70629,-121.05242
2022,Stanislaus,Kaiser Foundation Hospital – Modesto,106504042,Elective PCI Stroke,"50,888","19,272",23,0.12,184,25,25,159,0,0,0.1,0,37.70629,-121.05242
2022,Stanislaus,Kaiser Foundation Hospital – Modesto,106504042,Elective PCI Emergency CABG,"50,888","19,272",N/A,N/A,184,25,25,159,0,N/A,N/A,N/A,37.70629,-121.05242
2022,Stanislaus,Kaiser Foundation Hospital – Modesto,106504042,All PCI Mortality,"50,888","19,272","1,324",2.6,184,184,25,159,1,0.54,1.63,0.86,37.70629,-121.05242
2022,Stanislaus,Kaiser Foundation Hospital – Modesto,106504042,All PCI Stroke,"50,888","19,272",238,0.47,184,184,25,159,1,0.54,0.47,0.54,37.70629,-121.05242
2022,Stanislaus,Kaiser Foundation Hospital – Modesto,106504042,All PCI Emergency CABG,"50,888","19,272",N/A,N/A,184,184,25,159,0,N/A,N/A,N/A,37.70629,-121.05242
2022,Orange,Los Alamitos Medical Center,106301248,Elective PCI Mortality,"50,888","19,272",50,0.26,206,52,52,154,0,0,0.18,0,33.80327,-118.0674
2022,Orange,Los Alamitos Medical Center,106301248,Elective PCI Stroke,"50,888","19,272",23,0.12,206,52,52,154,1,1.92,0.1,2.39,33.80327,-118.0674
2022,Orange,Los Alamitos Medical Center,106301248,Elective PCI Emergency CABG,"50,888","19,272",N/A,N/A,206,52,52,154,0,N/A,N/A,N/A,33.80327,-118.0674
2022,Orange,Los Alamitos Medical Center,106301248,All PCI Mortality,"50,888","19,272","1,324",2.6,206,206,52,154,8,3.88,3.29,3.07,33.80327,-118.0674
2022,Orange,Los Alamitos Medical Center,106301248,All PCI Stroke,"50,888","19,272",238,0.47,206,206,52,154,3,1.46,0.55,1.25,33.80327,-118.0674
2022,Orange,Los Alamitos Medical Center,106301248,All PCI Emergency CABG,"50,888","19,272",N/A,N/A,206,206,52,154,0,N/A,N/A,N/A,33.80327,-118.0674
2022,Merced,Mercy Medical Center – Merced,106240942,Elective PCI Mortality,"50,888","19,272",50,0.26,28,21,21,7,0,0,0.17,0,37.34023,-120.46518
2022,Merced,Mercy Medical Center – Merced,106240942,Elective PCI Stroke,"50,888","19,272",23,0.12,28,21,21,7,0,0,0.11,0,37.34023,-120.46518
2022,Merced,Mercy Medical Center – Merced,106240942,Elective PCI Emergency CABG,"50,888","19,272",N/A,N/A,28,21,21,7,0,N/A,N/A,N/A,37.34023,-120.46518
2022,Merced,Mercy Medical Center – Merced,106240942,All PCI Mortality,"50,888","19,272","1,324",2.6,28,28,21,7,0,0,0.38,0,37.34023,-120.46518
2022,Merced,Mercy Medical Center – Merced,106240942,All PCI Stroke,"50,888","19,272",238,0.47,28,28,21,7,0,0,0.17,0,37.34023,-120.46518
2022,Merced,Mercy Medical Center – Merced,106240942,All PCI Emergency CABG,"50,888","19,272",N/A,N/A,28,28,21,7,0,N/A,N/A,N/A,37.34023,-120.46518
2022,Tulare,Sierra View Medical Center ,106540798,Elective PCI Mortality,"50,888","19,272",50,0.26,120,90,90,30,0,0,0.24,0,36.06948,-119.02727
2022,Tulare,Sierra View Medical Center ,106540798,Elective PCI Stroke,"50,888","19,272",23,0.12,120,90,90,30,0,0,0.12,0,36.06948,-119.02727
2022,Tulare,Sierra View Medical Center ,106540798,Elective PCI Emergency CABG,"50,888","19,272",N/A,N/A,120,90,90,30,0,N/A,N/A,N/A,36.06948,-119.02727
2022,Tulare,Sierra View Medical Center ,106540798,All PCI Mortality,"50,888","19,272","1,324",2.6,120,120,90,30,0,0,0.66,0,36.06948,-119.02727
2022,Tulare,Sierra View Medical Center ,106540798,All PCI Stroke,"50,888","19,272",238,0.47,120,120,90,30,0,0,0.23,0,36.06948,-119.02727
2022,Tulare,Sierra View Medical Center ,106540798,All PCI Emergency CABG,"50,888","19,272",N/A,N/A,120,120,90,30,0,N/A,N/A,N/A,36.06948,-119.02727
2022,Alameda,St. Rose Hospital ,106010967,Elective PCI Mortality,"50,888","19,272",50,0.26,181,8,8,173,0,0,0.12,0,37.63291,-122.08962
2022,Alameda,St. Rose Hospital ,106010967,Elective PCI Stroke,"50,888","19,272",23,0.12,181,8,8,173,0,0,0.14,0,37.63291,-122.08962
2022,Alameda,St. Rose Hospital ,106010967,Elective PCI Emergency CABG,"50,888","19,272",N/A,N/A,181,8,8,173,0,N/A,N/A,N/A,37.63291,-122.08962
2022,Alameda,St. Rose Hospital ,106010967,All PCI Mortality,"50,888","19,272","1,324",2.6,181,181,8,173,9,4.97,8.18,1.58,37.63291,-122.08962
2022,Alameda,St. Rose Hospital ,106010967,All PCI Stroke,"50,888","19,272",238,0.47,181,181,8,173,1,0.55,0.95,0.27,37.63291,-122.08962
2022,Alameda,St. Rose Hospital ,106010967,All PCI Emergency CABG,"50,888","19,272",N/A,N/A,181,181,8,173,0,N/A,N/A,N/A,37.63291,-122.08962
2022,Contra Costa,Sutter Delta Medical Center ,106070934,Elective PCI Mortality,"50,888","19,272",50,0.26,305,51,51,254,1,1.96,0.11,4.82,37.98222,-121.8054
2022,Contra Costa,Sutter Delta Medical Center ,106070934,Elective PCI Stroke,"50,888","19,272",23,0.12,305,51,51,254,0,0,0.13,0,37.98222,-121.8054
2022,Contra Costa,Sutter Delta Medical Center ,106070934,Elective PCI Emergency CABG,"50,888","19,272",N/A,N/A,305,51,51,254,0,N/A,N/A,N/A,37.98222,-121.8054
2022,Contra Costa,Sutter Delta Medical Center ,106070934,All PCI Mortality,"50,888","19,272","1,324",2.6,305,305,51,254,11,3.61,2.57,3.64,37.98222,-121.8054
2022,Contra Costa,Sutter Delta Medical Center ,106070934,All PCI Stroke,"50,888","19,272",238,0.47,305,305,51,254,2,0.66,0.67,0.46,37.98222,-121.8054
2022,Contra Costa,Sutter Delta Medical Center ,106070934,All PCI Emergency CABG,"50,888","19,272",N/A,N/A,305,305,51,254,1,N/A,N/A,N/A,37.98222,-121.8054
2022,Placer,Sutter Roseville Medical Center ,106311000,Elective PCI Mortality,"50,888","19,272",50,0.26,466,135,135,331,1,0.74,0.14,1.38,38.76515,-121.24922
2022,Placer,Sutter Roseville Medical Center ,106311000,Elective PCI Stroke,"50,888","19,272",23,0.12,466,135,135,331,1,0.74,0.13,0.69,38.76515,-121.24922
2022,Placer,Sutter Roseville Medical Center ,106311000,Elective PCI Emergency CABG,"50,888","19,272",N/A,N/A,466,135,135,331,0,N/A,N/A,N/A,38.76515,-121.24922
2022,Placer,Sutter Roseville Medical Center ,106311000,All PCI Mortality,"50,888","19,272","1,324",2.6,466,466,135,331,17,3.65,2.87,3.31,38.76515,-121.24922
2022,Placer,Sutter Roseville Medical Center ,106311000,All PCI Stroke,"50,888","19,272",238,0.47,466,466,135,331,4,0.86,0.56,0.72,38.76515,-121.24922
2022,Placer,Sutter Roseville Medical Center ,106311000,All PCI Emergency CABG,"50,888","19,272",N/A,N/A,466,466,135,331,0,N/A,N/A,N/A,38.76515,-121.24922
2021,Ventura,Adventist Health Simi Valley,106560525,Elective PCI Mortality,"52,230","20,096",63,0.31,238,92,92,146,0,0,0.26,0,34.28973,-118.74394
2021,Ventura,Adventist Health Simi Valley,106560525,Elective PCI Stroke,"52,230","20,096",36,0.18,238,92,92,146,0,0,0.14,0,34.28973,-118.74394
2021,Ventura,Adventist Health Simi Valley,106560525,Elective PCI Emergency CABG,"52,230","20,096",N/A,N/A,238,92,92,146,0,N/A,N/A,N/A,34.28973,-118.74394
2021,Ventura,Adventist Health Simi Valley,106560525,All PCI Mortality,"52,230","20,096","1,433",2.74,238,238,92,146,13,5.46,1.75,8.54,34.28973,-118.74394
2021,Ventura,Adventist Health Simi Valley,106560525,All PCI Stroke,"52,230","20,096",252,0.48,238,238,92,146,1,0.42,0.41,0.49,34.28973,-118.74394
2021,Ventura,Adventist Health Simi Valley,106560525,All PCI Emergency CABG,"52,230","20,096",N/A,N/A,238,238,92,146,0,N/A,N/A,N/A,34.28973,-118.74394
2021,Fresno,Clovis Community Medical Center,106100005,Elective PCI Mortality,"52,230","20,096",63,0.31,347,218,218,129,1,0.46,0.25,0.57,36.83745,-119.66072
2021,Fresno,Clovis Community Medical Center,106100005,Elective PCI Stroke,"52,230","20,096",36,0.18,347,218,218,129,1,0.46,0.2,0.41,36.83745,-119.66072
2021,Fresno,Clovis Community Medical Center,106100005,Elective PCI Emergency CABG,"52,230","20,096",N/A,N/A,347,218,218,129,1,N/A,N/A,N/A,36.83745,-119.66072
2021,Fresno,Clovis Community Medical Center,106100005,All PCI Mortality,"52,230","20,096","1,433",2.74,347,347,218,129,8,2.31,1.99,3.17,36.83745,-119.66072
2021,Fresno,Clovis Community Medical Center,106100005,All PCI Stroke,"52,230","20,096",252,0.48,347,347,218,129,2,0.58,0.36,0.77,36.83745,-119.66072
2021,Fresno,Clovis Community Medical Center,106100005,All PCI Emergency CABG,"52,230","20,096",N/A,N/A,347,347,218,129,2,N/A,N/A,N/A,36.83745,-119.66072
2021,Riverside,Corona Regional Medical Center – Main,106331152,Elective PCI Mortality,"52,230","20,096",63,0.31,133,49,49,84,0,0,0.3,0,33.87334,-117.5668
2021,Riverside,Corona Regional Medical Center – Main,106331152,Elective PCI Stroke,"52,230","20,096",36,0.18,133,49,49,84,0,0,0.16,0,33.87334,-117.5668
2021,Riverside,Corona Regional Medical Center – Main,106331152,Elective PCI Emergency CABG,"52,230","20,096",N/A,N/A,133,49,49,84,0,N/A,N/A,N/A,33.87334,-117.5668
2021,Riverside,Corona Regional Medical Center – Main,106331152,All PCI Mortality,"52,230","20,096","1,433",2.74,133,133,49,84,4,3.01,1.58,5.22,33.87334,-117.5668
2021,Riverside,Corona Regional Medical Center – Main,106331152,All PCI Stroke,"52,230","20,096",252,0.48,133,133,49,84,0,0,0.41,0,33.87334,-117.5668
2021,Riverside,Corona Regional Medical Center – Main,106331152,All PCI Emergency CABG,"52,230","20,096",N/A,N/A,133,133,49,84,0,N/A,N/A,N/A,33.87334,-117.5668
2021,San Bernardino,Desert Valley Hospital ,106364144,Elective PCI Mortality,"52,230","20,096",63,0.31,147,35,35,112,0,0,0.32,0,34.47093,-117.29778
2021,San Bernardino,Desert Valley Hospital ,106364144,Elective PCI Stroke,"52,230","20,096",36,0.18,147,35,35,112,0,0,0.18,0,34.47093,-117.29778
2021,San Bernardino,Desert Valley Hospital ,106364144,Elective PCI Emergency CABG,"52,230","20,096",N/A,N/A,147,35,35,112,0,N/A,N/A,N/A,34.47093,-117.29778
2021,San Bernardino,Desert Valley Hospital ,106364144,All PCI Mortality,"52,230","20,096","1,433",2.74,147,147,35,112,5,3.4,2.05,4.56,34.47093,-117.29778
2021,San Bernardino,Desert Valley Hospital ,106364144,All PCI Stroke,"52,230","20,096",252,0.48,147,147,35,112,0,0,0.48,0,34.47093,-117.29778
2021,San Bernardino,Desert Valley Hospital ,106364144,All PCI Emergency CABG,"52,230","20,096",N/A,N/A,147,147,35,112,0,N/A,N/A,N/A,34.47093,-117.29778
2021,Stanislaus,Emanuel Medical Center ,106500867,Elective PCI Mortality,"52,230","20,096",63,0.31,346,100,100,246,0,0,0.27,0,37.51052,-120.83966
2021,Stanislaus,Emanuel Medical Center ,106500867,Elective PCI Stroke,"52,230","20,096",36,0.18,346,100,100,246,0,0,0.18,0,37.51052,-120.83966
2021,Stanislaus,Emanuel Medical Center ,106500867,Elective PCI Emergency CABG,"52,230","20,096",N/A,N/A,346,100,100,246,0,N/A,N/A,N/A,37.51052,-120.83966
2021,Stanislaus,Emanuel Medical Center ,106500867,All PCI Mortality,"52,230","20,096","1,433",2.74,346,346,100,246,14,4.05,3.11,3.57,37.51052,-120.83966
2021,Stanislaus,Emanuel Medical Center ,106500867,All PCI Stroke,"52,230","20,096",252,0.48,346,346,100,246,1,0.29,0.59,0.24,37.51052,-120.83966
2021,Stanislaus,Emanuel Medical Center ,106500867,All PCI Emergency CABG,"52,230","20,096",N/A,N/A,346,346,100,246,4,N/A,N/A,N/A,37.51052,-120.83966
