Year,County,OSHPDID,Hospital Name,Postoperative Sepsis Cases,Elective Surgical Discharges,Risk-adjusted Postoperative Sepsis Rate,Risk-adjusted Performance Rating,Latitude,Longitude
2019,Los Angeles,106190429,Kaiser Foundation Hospital – Sunset,26,4192,0.38,Average,34.09875,-118.295371
2019,Los Angeles,106190431,Kaiser Foundation Hospital – South Bay,8,1780,0.48,Average,33.78926,-118.29373
2019,Los Angeles,106190432,Kaiser Foundation Hospital – Panorama City,5,1009,0.37,Average,34.2198,-118.43103
2019,Los Angeles,106190434,Kaiser Foundation Hospital – West Los Angeles,5,1831,0.31,Average,34.03793,-118.37568
2019,Los Angeles,106190470,Providence Little Company of Mary Medical Center – Torrance,6,1290,0.48,Average,33.83891,-118.356771
2019,Los Angeles,106190500,Cedars-Sinai Marina Del Rey Hospital,2,1234,0.45,Average,33.98125,-118.43971
2019,Los Angeles,106190517,Providence Tarzana Medical Center,6,1155,0.64,Average,34.17067,-118.532001
2019,Los Angeles,106190521,Memorial Hospital of Gardena,1,99,1.02,Average,33.89246,-118.29493
2019,Los Angeles,106190522,Glendale Memorial Hospital and Medical Center,3,596,0.63,Average,34.1284,-118.25769
2019,Los Angeles,106190524,Mission Community Hospital – Panorama Campus,2,510,0.95,Average,34.22138,-118.45639
2019,Los Angeles,106190525,MemorialCare Long Beach Medical Center,15,3672,0.44,Average,33.80801,-118.1852
2019,Los Angeles,106190529,Methodist Hospital of Southern California,7,1494,0.58,Average,34.13603,-118.03879
2019,Los Angeles,106190547,Monterey Park Hospital,1,243,0.75,Average,34.05308,-118.13665
2019,Los Angeles,106190555,Cedars-Sinai Medical Center,69,8720,0.69,Below Average,34.07681,-118.38061
2019,Los Angeles,106190568,Northridge Hospital Medical Center,1,893,0.16,Average,34.22075,-118.53186
2019,Los Angeles,106190570,Norwalk Community Hospital,0,20,0,Average,33.91108,-118.0644
2019,Los Angeles,106190587,College Medical Center,0,17,0,Average,33.80759,-118.19355
2019,Los Angeles,106190630,Pomona Valley Hospital Medical Center,4,765,0.59,Average,34.07709,-117.750621
2019,Los Angeles,106190631,PIH Health Hospital - Whittier,4,1370,0.41,Average,33.9697943,-118.049255
2019,Los Angeles,106190636,Emanate Health Queen of the Valley Hospital,4,1001,0.66,Average,34.06242,-117.94528
2019,Los Angeles,106190661,L.A. Downtown Medical Center,0,45,0,Average,34.06879,-118.26324
2019,Los Angeles,106190673,San Dimas Community Hospital,0,78,0,Average,34.099076,-117.834328
2019,Los Angeles,106190680,Providence Little Company of Mary Medical Center – San Pedro,1,173,0.59,Average,33.737939,-118.303893
2019,Los Angeles,106190681,DOCS Surgical Hospital,0,274,0,Average,34.0572,-118.36195
2019,Los Angeles,106190687,Santa Monica – UCLA Medical Center and Orthopedic Hospital,16,1798,0.94,Below Average,34.027539,-118.486123
2019,Los Angeles,106190696,Pacifica Hospital of the Valley,0,44,0,Average,34.24088,-118.39555
2019,Los Angeles,106190708,Sherman Oaks Hospital,0,135,0,Average,34.15995,-118.4488
2019,Los Angeles,106190754,Saint Francis Medical Center,3,502,0.85,Average,33.93085,-118.20415
2019,Los Angeles,106190756,Providence Saint John’s Health Center,14,3499,0.64,Average,34.029804,-118.478668
2019,Los Angeles,106190758,Providence Saint Joseph Medical Center,6,1615,0.47,Average,34.15486,-118.32655
2019,Los Angeles,106190762,Saint Vincent Medical Center,5,978,0.41,Average,34.06311,-118.27302
2019,Los Angeles,106190766,Coast Plaza Hospital,1,28,3.3,Average,33.91255,-118.09915
2019,Los Angeles,106190796,Ronald Reagan UCLA Medical Center,41,4349,0.62,Below Average,34.068889,-118.445
2019,Los Angeles,106190812,Valley Presbyterian Hospital,8,998,1.57,Below Average,34.19396,-118.4632
2019,Los Angeles,106190818,University of Southern California Verdugo Hills Hospital,2,484,0.55,Average,34.20557,-118.2152
2019,Los Angeles,106190857,West Covina Medical Center,0,53,0,Average,34.07042,-117.94505
2019,Los Angeles,106190859,West Hills Hospital and Medical Center,0,430,0,Average,34.20337,-118.62939
2019,Los Angeles,106190878,Adventist Health White Memorial,1,1350,0.12,Average,34.05085,-118.21691
2019,Los Angeles,106190883,Whittier Hospital Medical Center,1,104,1.48,Average,33.95379,-118.00303
2019,Los Angeles,106190949,Henry Mayo Newhall Hospital,1,473,0.23,Average,34.39545,-118.55476
2019,Los Angeles,106191227,Los Angeles County/Harbor – UCLA Medical Center,7,1632,0.41,Average,33.83155,-118.29353
2019,Los Angeles,106191228,Los Angeles County/University of Southern California Medical Center,13,2195,0.56,Average,34.05982,-118.21031
2019,Los Angeles,106191231,Los Angeles County/Olive View – UCLA Medical Center,3,858,0.35,Average,34.32418,-118.45255
2019,Los Angeles,106191306,Los Angeles County/Rancho Los Amigos National Rehabilitation Center,0,453,0,Average,33.92723,-118.15795
2019,Los Angeles,106191450,Kaiser Foundation Hospital – Woodland Hills,5,574,0.36,Average,34.17198,-118.58829
2019,Los Angeles,106194219,Keck Hospital of University of Southern California,56,4813,0.61,Below Average,34.06284,-118.20287
2019,Los Angeles,106196035,Kaiser Foundation Hospital – Baldwin Park,3,638,0.28,Average,34.06348,-117.986
2019,Los Angeles,106196403,Kaiser Foundation Hospital – Downey,11,1073,0.71,Average,33.9171234,-118.1290216
2019,Los Angeles,106196405,Palmdale Regional Medical Center,5,746,0.92,Average,34.5843754,-118.1443461
2019,Madera,106201281,Madera Community Hospital,1,193,0.5,Average,36.94538,-120.0447
2019,Marin,106210992,Kaiser Foundation Hospital – San Rafael,0,371,0,Average,38.0041,-122.55376
2019,Marin,106211006,MarinHealth Medical Center,1,753,0.17,Average,37.94651,-122.53715
2019,Marin,106214034,Novato Community Hospital,0,524,0,Average,38.09827,-122.55974
2019,Mendocino,106231013,Mendocino Coast District Hospital,0,4,0,Average,39.4326,-123.80068
2019,Mendocino,106231396,Adventist Health Ukiah Valley,1,159,0.34,Average,39.15216,-123.202741
2019,Mendocino,106234038,Adventist Health Howard Memorial,0,289,0,Average,39.39927,-123.35486
2019,Merced,106240924,Memorial Hospital Los Banos,1,15,13.71,Average,37.06273,-120.86147
2019,Merced,106240942,Mercy Medical Center – Merced,3,713,1,Average,37.3402309,-120.4651815
2019,Mono,106260011,Mammoth Hospital,0,182,0,Average,37.64524,-118.96408
2019,Monterey,106270744,Community Hospital of The Monterey Peninsula,7,1647,0.46,Average,36.59827,-121.92488
2019,Monterey,106270777,George L. Mee Memorial Hospital,0,13,0,Average,36.2071,-121.1325
2019,Monterey,106270875,Salinas Valley Memorial Hospital,5,751,0.58,Average,36.65909,-121.646291
2019,Monterey,106274043,Natividad Medical Center,0,168,0,Average,36.69686,-121.6297
2019,Napa,106281047,Queen of the Valley Medical Center,3,369,1.55,Average,38.32363,-122.296
2019,Napa,106281078,Adventist Health Saint Helena,2,948,0.26,Average,38.53937349,-122.473003
2019,Nevada,106291023,Sierra Nevada Memorial Hospital,0,73,0,Average,39.22808,-121.047201
2019,Nevada,106291053,Tahoe Forest Hospital,1,242,0.92,Average,39.324536,-120.201516
2019,Orange,106300225,MemorialCare Orange Coast Medical Center,13,2086,0.78,Average,33.70162,-117.95524
2019,Orange,106301098,AHMC Anaheim Regional Medical Center,0,623,0,Average,33.84725,-117.93248
2019,Orange,106301140,Chapman Global Medical Center,0,612,0,Average,33.78785,-117.82586
2019,Orange,106301175,Fountain Valley Regional Hospital and Medical Center – Euclid,5,1354,0.54,Average,33.71546,-117.93694
2019,Orange,106301188,Anaheim Global Medical Center,1,104,1.05,Average,33.8209,-117.90921
2019,Orange,106301205,Hoag Memorial Hospital Presbyterian,14,2569,0.31,Average,33.62526,-117.92949
2019,Orange,106301209,Huntington Beach Hospital,0,6,0,Average,33.70442,-117.98895
2019,Orange,106301234,La Palma Intercommunity Hospital,0,11,0,Average,33.84755,-118.0373
2019,Orange,106301248,Los Alamitos Medical Center,5,507,1.43,Below Average,33.80327,-118.0674
2019,Orange,106301258,South Coast Global Medical Center,0,162,0,Average,33.71112,-117.88539
2019,Orange,106301262,Mission Hospital Regional Medical Center,10,1506,0.65,Average,33.56279,-117.66768
2019,Orange,106301279,UC Irvine Medical Center,19,2987,0.41,Average,33.7879885,-117.8901339
2019,Orange,106301283,Garden Grove Hospital and Medical Center,0,22,0,Average,33.7745089,-117.9130315
2019,Orange,106301297,Placentia Linda Hospital,2,270,1.3,Average,33.887072,-117.8434267
2019,Orange,106301317,MemorialCare Saddleback  Medical Center,2,1331,0.14,Average,33.60802,-117.70825
2019,Orange,106301337,Mission Hospital Laguna Beach,0,249,0,Average,33.4997391,-117.7422502
2019,Orange,106301340,Saint Joseph Hospital – Orange,5,2635,0.2,Average,33.7823,-117.86516
2019,Orange,106301342,Saint Jude Medical Center,3,1268,0.23,Average,33.89349,-117.92851
2019,Orange,106301357,Foothill Regional Medical Center,1,391,0.27,Average,33.73119,-117.82903
2019,Orange,106301379,West Anaheim Medical Center,0,32,0,Average,33.82482,-117.99492
2019,Orange,106301566,Orange County Global Medical Center,0,217,0,Average,33.75361,-117.83398
2019,Orange,106304409,Kaiser Foundation Hospital – Orange County – Anaheim,18,2532,0.59,Average,33.85442,-117.84399
2019,Orange,106304460,Hoag Orthopedic Institute,0,4432,0,Above Average,33.6617789,-117.7735916
2019,Placer,106310791,Sutter Auburn Faith Hospital,1,596,0.33,Average,38.94432,-121.09943
2019,Placer,106311000,Sutter Roseville Medical Center,2,2280,0.13,Average,38.76515,-121.24922
2019,Placer,106314024,Kaiser Foundation Hospital – Roseville,6,1140,0.34,Average,38.74636,-121.25107
2019,Plumas,106320986,Plumas District Hospital,0,4,0,Average,39.93921,-120.96214
2019,Riverside,106331152,Corona Regional Medical Center – Main,1,540,0.35,Average,33.8733354,-117.5668015
2019,Riverside,106331164,Desert Regional Medical Center,0,1021,0,Average,33.83932,-116.54549
2019,Riverside,106331168,Eisenhower Medical Center,6,3781,0.25,Average,33.76418,-116.40808
2019,Riverside,106331194,Hemet Global Medical Center,0,323,0,Average,33.75113,-116.95958
2019,Riverside,106331216,John F. Kennedy Memorial Hospital,0,221,0,Average,33.70677,-116.23391
2019,Riverside,106331288,Palo Verde Hospital,0,4,0,Average,33.61315,-114.5956
2019,Riverside,106331293,Parkview Community Hospital Medical Center,0,1008,0,Average,33.92573,-117.43996
2019,Riverside,106331312,Riverside Community Hospital,14,1595,0.74,Average,33.97641,-117.37997
2019,Riverside,106331326,San Gorgonio Memorial Hospital,1,51,4.88,Average,33.9317494,-116.9459031
2019,Riverside,106334018,Menifee Global Medical Center,1,235,0.56,Average,33.72146,-117.15691
2019,Riverside,106334025,Kaiser Foundation Hospital – Riverside,6,545,0.45,Average,33.9063,-117.47082
2019,Riverside,106334048,Kaiser Foundation Hospital – Moreno Valley,0,91,0,Average,33.89553,-117.18677
2019,Riverside,106334068,Southwest Healthcare System – Murrieta,2,2142,0.22,Average,33.55788,-117.18488
2019,Riverside,106334487,Riverside University Health System – Medical Center,2,788,0.34,Average,33.91187,-117.19525
2019,Riverside,106334564,Temecula Valley Hospital,2,673,0.44,Average,33.4795943,-117.1048018
2019,Riverside,106334589,Loma Linda University Medical Center – Murrieta,5,899,0.57,Average,33.6122263,-117.1624483
2019,Sacramento,106340913,Kaiser Foundation Hospital – Sacramento,5,2273,0.15,Above Average,38.60197,-121.39232
2019,Sacramento,106340947,Mercy General Hospital,9,2592,0.36,Average,38.56955,-121.45271
2019,Sacramento,106340950,Mercy San Juan Hospital,3,1602,0.23,Average,38.66818,-121.31261
2019,Sacramento,106340951,Methodist Hospital of Sacramento,1,812,0.41,Average,38.46416,-121.41744
2019,Sacramento,106341006,UC Davis Medical Center,13,2689,0.38,Average,38.55438,-121.45738
2019,Sacramento,106341051,"Sutter Medical Center, Sacramento",18,4286,0.42,Average,38.57045,-121.47028
2019,Sacramento,106342344,Kaiser Foundation Hospital – South Sacramento,2,1912,0.07,Above Average,38.47144,-121.42409
2019,Sacramento,106344029,Mercy Hospital of Folsom,1,595,0.35,Average,38.67223,-121.1428
2019,San Benito,106350784,Hazel Hawkins Memorial Hospital,0,72,0,Average,36.835,-121.38609
2019,San Bernardino,106361166,Montclair Hospital Medical Center,0,9,0,Average,34.07774,-117.69603
2019,San Bernardino,106361223,Kaiser Foundation Hospital – Fontana,9,3170,0.23,Above Average,34.0725,-117.43549
2019,San Bernardino,106361246,Loma Linda University Medical Center,17,4293,0.29,Average,34.05164,-117.26146
2019,San Bernardino,106361308,Redlands Community Hospital,3,2110,0.27,Average,34.03699,-117.2044
2019,San Bernardino,106361318,San Antonio Regional Hospital,5,1287,0.53,Average,34.10056,-117.63828
2019,San Bernardino,106361323,Community Hospital of San Bernardino,1,210,0.87,Average,34.13138,-117.32245
2019,San Bernardino,106361339,Saint Bernardine Medical Center,11,1914,0.61,Average,34.1341,-117.27865
2019,San Bernardino,106361343,Saint Mary Medical Center – Apple Valley,4,753,0.61,Average,34.54053,-117.26535
2019,San Bernardino,106361370,Victor Valley Global Medical Center,0,6,0,Average,34.5281768,-117.2925622
2019,San Bernardino,106361458,Colorado River Medical Center,0,5,0,Average,34.8325,-114.61818
2019,San Bernardino,106362041,Hi-Desert Medical Center,0,31,0,Average,34.13323,-116.27654
2019,San Bernardino,106364231,Arrowhead Regional Medical Center,1,59,1.79,Average,34.07163215,-117.3527761
2019,San Bernardino,106364430,Barstow Community Hospital,0,50,0,Average,34.8935263,-117.0168841
2019,San Diego,106370652,Alvarado Hospital,1,512,0.16,Average,32.7766415,-117.0573188
2019,San Diego,106370689,Sharp Coronado Hospital and Healthcare Center,0,762,0,Average,32.69427,-117.16808
2019,San Diego,106370694,Sharp Memorial Hospital,15,3409,0.34,Average,32.80016,-117.15531
2019,San Diego,106370714,Grossmont Hospital,6,1692,0.48,Average,32.77963,-117.00924
2019,San Diego,106370730,Kaiser Foundation Hospital – San Diego – Zion,23,2502,0.67,Average,32.79287,-117.09447
2019,San Diego,106370744,Scripps Mercy Hospital,13,3077,0.65,Average,32.75128,-117.1609
2019,San Diego,106370755,Palomar Health Downtown Campus,3,2305,0.2,Average,33.12586,-117.07628
2019,San Diego,106370759,Paradise Valley Hospital,0,168,0,Average,32.6863293,-117.0830382
2019,San Diego,106370771,Scripps Memorial Hospital – La Jolla,15,3358,0.44,Average,32.88506,-117.22279
2019,San Diego,106370780,Tri-City Medical Center – Oceanside,4,881,0.56,Average,33.18394,-117.29027
2019,San Diego,106370782,UC San Diego Health System – Hillcrest Medical Center,35,5605,0.43,Average,32.75387,-117.16498
2019,San Diego,106370875,Sharp Chula Vista Medical Center,5,588,0.76,Average,32.61909,-117.02488
2019,San Diego,106370977,Pomerado Hospital,1,424,0.32,Average,32.99563,-117.05784
2019,San Diego,106371256,Scripps Green Hospital,4,3546,0.17,Above Average,32.89654,-117.2419
2019,San Diego,106371394,Scripps Memorial Hospital – Encinitas,0,969,0,Average,33.0363,-117.28495
2019,San Francisco,106380857,Kaiser Foundation Hospital – San Francisco,12,2085,0.33,Average,37.78274,-122.44289
2019,San Francisco,106380929,California Pacific Medical Center – D/P APH,0,249,0,Average,37.79149,-122.43102
2019,San Francisco,106380933,California Pacific Medical Center – Davies Campus Hospital,3,687,0.5,Average,37.7691,-122.43465
2019,San Francisco,106380939,Priscilla Chan & Mark Zuckerberg San Francisco General Hospital & Trauma Center,0,592,0,Average,37.75657,-122.40637
2019,San Francisco,106380960,Saint Francis Memorial Hospital,2,600,0.67,Average,37.78917,-122.41695
2019,San Francisco,106380965,"Saint Mary’s Medical Center, San Francisco",8,897,1.03,Below Average,37.77408,-122.45441
2019,San Francisco,106381154,UC San Francisco Medical Center,52,7277,0.6,Below Average,37.7635148,-122.4576564
2019,San Francisco,106382715,Chinese Hospital,0,95,0,Average,37.79565,-122.40926
2019,San Francisco,106384176,California Pacific Medical Center –Van Ness Campus,10,1307,0.37,Average,37.78584,-122.42175
2019,San Francisco,106384202,California Pacific Medical Center – Mission Bernal Campus,3,1039,0.77,Average,37.74804,-122.42094
2019,San Joaquin,106390846,Dameron Hospital,1,553,0.46,Average,37.96125,-121.30067
2019,San Joaquin,106390923,Adventist Health Lodi Memorial,1,225,0.4,Average,38.12146,-121.2859
2019,San Joaquin,106391010,San Joaquin General Hospital,3,613,0.7,Average,37.88594,-121.28918
2019,San Joaquin,106391042,Saint Joseph’s Medical Center of Stockton,8,892,0.8,Average,37.97075,-121.2891
2019,San Joaquin,106391056,Sutter Tracy Community Hospital,2,176,2.63,Average,37.74366,-121.43482
2019,San Joaquin,106392287,Doctors Hospital of Manteca,1,338,0.77,Average,37.80111,-121.19746
2019,San Joaquin,106394009,Kaiser Foundation Hospital – Manteca,0,582,0,Above Average,37.79736,-121.24614
2019,San Luis Obispo,106400466,Marian Regional Medical Center – Arroyo Grande,0,271,0,Average,35.11369,-120.59147
2019,San Luis Obispo,106400480,French Hospital Medical Center,0,981,0,Average,35.27801,-120.64977
2019,San Luis Obispo,106400524,Sierra Vista Regional Medical Center,2,673,0.45,Average,35.290986,-120.666309
2019,San Luis Obispo,106400548,Twin Cities Community Hospital,0,368,0,Average,35.5543,-120.71967
2019,San Mateo,106410782,San Mateo Medical Center,0,144,0,Average,37.53017,-122.29951
2019,San Mateo,106410806,Kaiser Foundation Hospital – South San Francisco,1,728,0.08,Above Average,37.65806,-122.43837
2019,San Mateo,106410817,Seton Medical Center,1,244,0.55,Average,37.68172,-122.47283
2019,San Mateo,106410852,Peninsula Medical Center,6,1531,0.38,Average,37.5944692,-122.3832465
2019,San Mateo,106410891,Sequoia Hospital,3,1471,0.39,Average,37.48129,-122.25377
2019,San Mateo,106414018,Menlo Park Surgical Hospital,0,178,0,Average,37.45797,-122.16212
2019,San Mateo,106414139,Kaiser Foundation Hospital – Redwood City,1,1384,0.07,Above Average,37.48967,-122.22463
2019,Santa Barbara,106420483,Goleta Valley Cottage Hospital,1,1220,0.45,Average,34.43336,-119.80929
2019,Santa Barbara,106420491,Lompoc Valley Medical Center,0,123,0,Average,34.639252,-120.4396497
2019,Santa Barbara,106420493,Marian Regional Medical Center,7,1324,0.79,Average,34.95198,-120.41338
2019,Santa Barbara,106420514,Santa Barbara Cottage Hospital,3,2133,0.15,Above Average,34.42948,-119.72317
2019,Santa Clara,106430705,Regional Medical Center of San Jose,4,280,0.99,Average,37.36332,-121.84837
2019,Santa Clara,106430763,El Camino Health,5,2662,0.23,Average,37.36779,-122.07801
2019,Santa Clara,106430779,Good Samaritan Hospital – San Jose,2,1527,0.15,Average,37.25116,-121.9449
2019,Santa Clara,106430837,O’Connor Hospital,1,524,0.26,Average,37.32714,-121.93727
2019,Santa Clara,106430883,Santa Clara Valley Medical Center,6,1162,0.49,Average,37.31346,-121.93202
2019,Santa Clara,106430905,Stanford Health Care,68,7012,0.55,Average,37.433,-122.175881
2019,Santa Clara,106431506,Kaiser Foundation Hospital – San Jose,2,1438,0.1,Above Average,37.23924,-121.80269
2019,Santa Clara,106434138,Saint Louise Regional Hospital,0,17,0,Average,37.03731,-121.57411
2019,Santa Clara,106434153,Kaiser Foundation Hospital – Santa Clara,14,2196,0.35,Average,37.334597,-121.995774
2019,Santa Cruz,106440755,Dominican Hospital,4,764,0.6,Average,36.98806,-121.98489
2019,Santa Cruz,106444013,Watsonville Community Hospital,1,90,1.23,Average,36.92839,-121.79173
2019,Shasta,106450936,Mayers Memorial Hospital,0,4,0,Average,41.02423,-121.42442
2019,Shasta,106450940,Shasta Regional Medical Center,1,744,0.18,Average,40.58562,-122.387731
2019,Shasta,106450949,Mercy Medical Center – Redding,4,1335,0.46,Average,40.57204,-122.39742
2019,Shasta,106454013,Patients’ Hospital of Redding,0,173,0,Average,40.58563,-122.41632
2019,Siskiyou,106470871,Mercy Medical Center Mt. Shasta,0,140,0,Average,41.31894,-122.32309
2019,Siskiyou,106474007,Fairchild Medical Center,0,106,0,Average,41.71949,-122.645801
