Year,County,OSHPDID,Surgery,# of Cases,LONGITUDE,LATITUDE,hospital
2014,,,Breast,25290,,,Statewide
2013,,,Bladder,892,,,Statewide
2018,,,Lung,3183,,,Statewide
2019,,,Liver,1522,,,Statewide
2014,,,Stomach,1030,,,Statewide
2020,,,Liver,1380,,,Statewide
2019,,,Pancreas,1124,,,Statewide
2020,,,Lung,3067,,,Statewide
2017,,,Prostate,6921,,,Statewide
2017,,,Esophagus,471,,,Statewide
2020,,,Stomach,960,,,Statewide
2018,,,Brain,3363,,,Statewide
2021,,,Liver,1504,,,Statewide
2013,,,Esophagus,337,,,Statewide
2013,,,Pancreas,819,,,Statewide
2013,Alameda,106010735,Colon,3,-122.25362,37.762953,Alameda Hospital
2021,Alameda,106010735,Colon,3,-122.253991,37.76266,Alameda Hospital
2013,Alameda,106010735,Breast,2,-122.25362,37.762953,Alameda Hospital
2019,Alameda,106010735,Colon,2,-122.253991,37.76266,Alameda Hospital
2020,Alameda,106010735,Rectum,1,-122.253991,37.76266,Alameda Hospital
2016,Alameda,106010735,Rectum,2,-122.25362,37.762953,Alameda Hospital
2016,Alameda,106010735,Breast,2,-122.25362,37.762953,Alameda Hospital
2018,Alameda,106010735,Breast,2,-122.253991,37.76266,Alameda Hospital
2017,Alameda,106010735,Colon,1,-122.25362,37.762953,Alameda Hospital
2014,Alameda,106010735,Rectum,1,-122.25362,37.762953,Alameda Hospital
2017,Alameda,106010735,Breast,2,-122.25362,37.762953,Alameda Hospital
2021,Alameda,106010735,Rectum,1,-122.253991,37.76266,Alameda Hospital
2014,Alameda,106010735,Breast,3,-122.25362,37.762953,Alameda Hospital
2015,Alameda,106010735,Breast,3,-122.25362,37.762953,Alameda Hospital
2018,Alameda,106010735,Colon,3,-122.253991,37.76266,Alameda Hospital
2021,Alameda,106010735,Bladder,1,-122.253991,37.76266,Alameda Hospital
2018,Alameda,106010735,Stomach,1,-122.253991,37.76266,Alameda Hospital
2015,Alameda,106010735,Rectum,1,-122.25362,37.762953,Alameda Hospital
2014,Alameda,106010735,Colon,2,-122.25362,37.762953,Alameda Hospital
2016,Alameda,106010735,Colon,4,-122.25362,37.762953,Alameda Hospital
2013,Alameda,106010735,Stomach,1,-122.25362,37.762953,Alameda Hospital
2015,Alameda,106010735,Colon,4,-122.25362,37.762953,Alameda Hospital
2021,Alameda,106010735,Liver,1,-122.253991,37.76266,Alameda Hospital
2017,Alameda,106010735,Rectum,2,-122.25362,37.762953,Alameda Hospital
2020,Alameda,106010735,Prostate,1,-122.253991,37.76266,Alameda Hospital
2013,Alameda,106010739,Colon,12,-122.25784,37.85633,Alta Bates Summit Medical Center – Alta Bates Campus
2019,Alameda,106010739,Pancreas,1,-122.25743,37.85645,Alta Bates Summit Medical Center – Alta Bates Campus
2016,Alameda,106010739,Brain,10,-122.25784,37.85633,Alta Bates Summit Medical Center – Alta Bates Campus
2019,Alameda,106010739,Breast,81,-122.25743,37.85645,Alta Bates Summit Medical Center – Alta Bates Campus
2021,Alameda,106010739,Breast,73,-122.25743,37.85645,Alta Bates Summit Medical Center – Alta Bates Campus
2017,Alameda,106010739,Liver,2,-122.25784,37.85633,Alta Bates Summit Medical Center – Alta Bates Campus
2020,Alameda,106010739,Rectum,3,-122.25743,37.85645,Alta Bates Summit Medical Center – Alta Bates Campus
2014,Alameda,106010739,Brain,7,-122.25784,37.85633,Alta Bates Summit Medical Center – Alta Bates Campus
2016,Alameda,106010739,Prostate,3,-122.25784,37.85633,Alta Bates Summit Medical Center – Alta Bates Campus
2018,Alameda,106010739,Pancreas,2,-122.25743,37.85645,Alta Bates Summit Medical Center – Alta Bates Campus
2015,Alameda,106010739,Stomach,2,-122.25784,37.85633,Alta Bates Summit Medical Center – Alta Bates Campus
2014,Alameda,106010739,Breast,80,-122.25784,37.85633,Alta Bates Summit Medical Center – Alta Bates Campus
2017,Alameda,106010739,Prostate,3,-122.25784,37.85633,Alta Bates Summit Medical Center – Alta Bates Campus
2014,Alameda,106010739,Stomach,2,-122.25784,37.85633,Alta Bates Summit Medical Center – Alta Bates Campus
2017,Alameda,106010739,Colon,9,-122.25784,37.85633,Alta Bates Summit Medical Center – Alta Bates Campus
2014,Alameda,106010739,Colon,12,-122.25784,37.85633,Alta Bates Summit Medical Center – Alta Bates Campus
2018,Alameda,106010739,Prostate,2,-122.25743,37.85645,Alta Bates Summit Medical Center – Alta Bates Campus
2016,Alameda,106010739,Pancreas,1,-122.25784,37.85633,Alta Bates Summit Medical Center – Alta Bates Campus
2014,Alameda,106010739,Lung,4,-122.25784,37.85633,Alta Bates Summit Medical Center – Alta Bates Campus
2017,Alameda,106010739,Brain,7,-122.25784,37.85633,Alta Bates Summit Medical Center – Alta Bates Campus
2015,Alameda,106010739,Colon,8,-122.25784,37.85633,Alta Bates Summit Medical Center – Alta Bates Campus
2021,Alameda,106010739,Colon,8,-122.25743,37.85645,Alta Bates Summit Medical Center – Alta Bates Campus
2021,Alameda,106010739,Brain,11,-122.25743,37.85645,Alta Bates Summit Medical Center – Alta Bates Campus
2019,Alameda,106010739,Rectum,1,-122.25743,37.85645,Alta Bates Summit Medical Center – Alta Bates Campus
2016,Alameda,106010739,Colon,15,-122.25784,37.85633,Alta Bates Summit Medical Center – Alta Bates Campus
2021,Alameda,106010739,Liver,1,-122.25743,37.85645,Alta Bates Summit Medical Center – Alta Bates Campus
2013,Alameda,106010739,Prostate,4,-122.25784,37.85633,Alta Bates Summit Medical Center – Alta Bates Campus
2013,Alameda,106010739,Esophagus,1,-122.25784,37.85633,Alta Bates Summit Medical Center – Alta Bates Campus
2015,Alameda,106010739,Prostate,3,-122.25784,37.85633,Alta Bates Summit Medical Center – Alta Bates Campus
2020,Alameda,106010739,Colon,7,-122.25743,37.85645,Alta Bates Summit Medical Center – Alta Bates Campus
2015,Alameda,106010739,Pancreas,1,-122.25784,37.85633,Alta Bates Summit Medical Center – Alta Bates Campus
2018,Alameda,106010739,Brain,6,-122.25743,37.85645,Alta Bates Summit Medical Center – Alta Bates Campus
2017,Alameda,106010739,Pancreas,2,-122.25784,37.85633,Alta Bates Summit Medical Center – Alta Bates Campus
2018,Alameda,106010739,Liver,1,-122.25743,37.85645,Alta Bates Summit Medical Center – Alta Bates Campus
2015,Alameda,106010739,Breast,73,-122.25784,37.85633,Alta Bates Summit Medical Center – Alta Bates Campus
2014,Alameda,106010739,Rectum,2,-122.25784,37.85633,Alta Bates Summit Medical Center – Alta Bates Campus
2017,Alameda,106010739,Stomach,3,-122.25784,37.85633,Alta Bates Summit Medical Center – Alta Bates Campus
2017,Alameda,106010739,Breast,75,-122.25784,37.85633,Alta Bates Summit Medical Center – Alta Bates Campus
2021,Alameda,106010739,Stomach,2,-122.25743,37.85645,Alta Bates Summit Medical Center – Alta Bates Campus
2014,Alameda,106010739,Pancreas,1,-122.25784,37.85633,Alta Bates Summit Medical Center – Alta Bates Campus
2017,Alameda,106010739,Rectum,1,-122.25784,37.85633,Alta Bates Summit Medical Center – Alta Bates Campus
2019,Alameda,106010739,Prostate,1,-122.25743,37.85645,Alta Bates Summit Medical Center – Alta Bates Campus
2015,Alameda,106010739,Lung,3,-122.25784,37.85633,Alta Bates Summit Medical Center – Alta Bates Campus
2020,Alameda,106010739,Breast,70,-122.25743,37.85645,Alta Bates Summit Medical Center – Alta Bates Campus
2019,Alameda,106010739,Brain,14,-122.25743,37.85645,Alta Bates Summit Medical Center – Alta Bates Campus
2019,Alameda,106010739,Stomach,3,-122.25743,37.85645,Alta Bates Summit Medical Center – Alta Bates Campus
2013,Alameda,106010739,Breast,95,-122.25784,37.85633,Alta Bates Summit Medical Center – Alta Bates Campus
2020,Alameda,106010739,Prostate,2,-122.25743,37.85645,Alta Bates Summit Medical Center – Alta Bates Campus
2021,Alameda,106010739,Prostate,3,-122.25743,37.85645,Alta Bates Summit Medical Center – Alta Bates Campus
2018,Alameda,106010739,Rectum,3,-122.25743,37.85645,Alta Bates Summit Medical Center – Alta Bates Campus
2021,Alameda,106010739,Pancreas,2,-122.25743,37.85645,Alta Bates Summit Medical Center – Alta Bates Campus
2013,Alameda,106010739,Rectum,2,-122.25784,37.85633,Alta Bates Summit Medical Center – Alta Bates Campus
2018,Alameda,106010739,Stomach,2,-122.25743,37.85645,Alta Bates Summit Medical Center – Alta Bates Campus
2015,Alameda,106010739,Brain,3,-122.25784,37.85633,Alta Bates Summit Medical Center – Alta Bates Campus
2016,Alameda,106010739,Breast,74,-122.25784,37.85633,Alta Bates Summit Medical Center – Alta Bates Campus
2020,Alameda,106010739,Brain,15,-122.25743,37.85645,Alta Bates Summit Medical Center – Alta Bates Campus
2018,Alameda,106010739,Colon,12,-122.25743,37.85645,Alta Bates Summit Medical Center – Alta Bates Campus
2013,Alameda,106010739,Brain,8,-122.25784,37.85633,Alta Bates Summit Medical Center – Alta Bates Campus
2019,Alameda,106010739,Colon,12,-122.25743,37.85645,Alta Bates Summit Medical Center – Alta Bates Campus
2013,Alameda,106010739,Lung,6,-122.25784,37.85633,Alta Bates Summit Medical Center – Alta Bates Campus
2020,Alameda,106010739,Stomach,2,-122.25743,37.85645,Alta Bates Summit Medical Center – Alta Bates Campus
2021,Alameda,106010739,Rectum,10,-122.25743,37.85645,Alta Bates Summit Medical Center – Alta Bates Campus
2016,Alameda,106010739,Stomach,1,-122.25784,37.85633,Alta Bates Summit Medical Center – Alta Bates Campus
2014,Alameda,106010739,Prostate,3,-122.25784,37.85633,Alta Bates Summit Medical Center – Alta Bates Campus
2018,Alameda,106010739,Breast,60,-122.25743,37.85645,Alta Bates Summit Medical Center – Alta Bates Campus
2015,Alameda,106010739,Liver,1,-122.25784,37.85633,Alta Bates Summit Medical Center – Alta Bates Campus
2016,Alameda,106010739,Rectum,2,-122.25784,37.85633,Alta Bates Summit Medical Center – Alta Bates Campus
2019,Alameda,106010846,Brain,6,-122.23138,37.79925,Highland Hospital
2017,Alameda,106010846,Bladder,1,-122.2312,37.79917,Highland Hospital
2015,Alameda,106010846,Lung,4,-122.2312,37.79917,Highland Hospital
2021,Alameda,106010846,Liver,5,-122.23138,37.79925,Highland Hospital
2015,Alameda,106010846,Prostate,9,-122.2312,37.79917,Highland Hospital
2019,Alameda,106010846,Esophagus,1,-122.23138,37.79925,Highland Hospital
2021,Alameda,106010846,Breast,57,-122.23138,37.79925,Highland Hospital
2018,Alameda,106010846,Stomach,5,-122.23138,37.79925,Highland Hospital
2014,Alameda,106010846,Brain,8,-122.2312,37.79917,Highland Hospital
2014,Alameda,106010846,Esophagus,1,-122.2312,37.79917,Highland Hospital
2013,Alameda,106010846,Breast,34,-122.2312,37.79917,Highland Hospital
2016,Alameda,106010846,Lung,7,-122.2312,37.79917,Highland Hospital
2018,Alameda,106010846,Bladder,1,-122.23138,37.79925,Highland Hospital
2021,Alameda,106010846,Prostate,16,-122.23138,37.79925,Highland Hospital
2015,Alameda,106010846,Brain,3,-122.2312,37.79917,Highland Hospital
2013,Alameda,106010846,Colon,22,-122.2312,37.79917,Highland Hospital
2020,Alameda,106010846,Brain,5,-122.23138,37.79925,Highland Hospital
2014,Alameda,106010846,Prostate,7,-122.2312,37.79917,Highland Hospital
2019,Alameda,106010846,Liver,6,-122.23138,37.79925,Highland Hospital
2013,Alameda,106010846,Prostate,8,-122.2312,37.79917,Highland Hospital
2018,Alameda,106010846,Rectum,11,-122.23138,37.79925,Highland Hospital
2013,Alameda,106010846,Pancreas,1,-122.2312,37.79917,Highland Hospital
2019,Alameda,106010846,Pancreas,3,-122.23138,37.79925,Highland Hospital
2016,Alameda,106010846,Breast,53,-122.2312,37.79917,Highland Hospital
2013,Alameda,106010846,Rectum,6,-122.2312,37.79917,Highland Hospital
2017,Alameda,106010846,Prostate,20,-122.2312,37.79917,Highland Hospital
2013,Alameda,106010846,Esophagus,2,-122.2312,37.79917,Highland Hospital
2020,Alameda,106010846,Rectum,4,-122.23138,37.79925,Highland Hospital
2014,Alameda,106010846,Rectum,4,-122.2312,37.79917,Highland Hospital
2020,Alameda,106010846,Bladder,3,-122.23138,37.79925,Highland Hospital
2016,Alameda,106010846,Esophagus,3,-122.2312,37.79917,Highland Hospital
2016,Alameda,106010846,Prostate,16,-122.2312,37.79917,Highland Hospital
2018,Alameda,106010846,Colon,10,-122.23138,37.79925,Highland Hospital
2019,Alameda,106010846,Prostate,19,-122.23138,37.79925,Highland Hospital
2016,Alameda,106010846,Stomach,2,-122.2312,37.79917,Highland Hospital
2018,Alameda,106010846,Breast,37,-122.23138,37.79925,Highland Hospital
2019,Alameda,106010846,Breast,36,-122.23138,37.79925,Highland Hospital
2021,Alameda,106010846,Bladder,4,-122.23138,37.79925,Highland Hospital
2016,Alameda,106010846,Rectum,16,-122.2312,37.79917,Highland Hospital
2013,Alameda,106010846,Lung,12,-122.2312,37.79917,Highland Hospital
2018,Alameda,106010846,Lung,4,-122.23138,37.79925,Highland Hospital
2021,Alameda,106010846,Rectum,4,-122.23138,37.79925,Highland Hospital
2017,Alameda,106010846,Esophagus,2,-122.2312,37.79917,Highland Hospital
2020,Alameda,106010846,Lung,2,-122.23138,37.79925,Highland Hospital
2014,Alameda,106010846,Liver,1,-122.2312,37.79917,Highland Hospital
2017,Alameda,106010846,Lung,7,-122.2312,37.79917,Highland Hospital
2018,Alameda,106010846,Brain,4,-122.23138,37.79925,Highland Hospital
2015,Alameda,106010846,Liver,1,-122.2312,37.79917,Highland Hospital
2015,Alameda,106010846,Colon,13,-122.2312,37.79917,Highland Hospital
2019,Alameda,106010846,Bladder,4,-122.23138,37.79925,Highland Hospital
2018,Alameda,106010846,Prostate,17,-122.23138,37.79925,Highland Hospital
2014,Alameda,106010846,Lung,5,-122.2312,37.79917,Highland Hospital
2013,Alameda,106010846,Brain,1,-122.2312,37.79917,Highland Hospital
2020,Alameda,106010846,Colon,15,-122.23138,37.79925,Highland Hospital
2016,Alameda,106010846,Bladder,2,-122.2312,37.79917,Highland Hospital
2019,Alameda,106010846,Colon,16,-122.23138,37.79925,Highland Hospital
2015,Alameda,106010846,Rectum,3,-122.2312,37.79917,Highland Hospital
2019,Alameda,106010846,Stomach,2,-122.23138,37.79925,Highland Hospital
2019,Alameda,106010846,Rectum,7,-122.23138,37.79925,Highland Hospital
2014,Alameda,106010846,Pancreas,2,-122.2312,37.79917,Highland Hospital
2015,Alameda,106010846,Breast,42,-122.2312,37.79917,Highland Hospital
2015,Alameda,106010846,Esophagus,1,-122.2312,37.79917,Highland Hospital
2021,Alameda,106010846,Brain,8,-122.23138,37.79925,Highland Hospital
2014,Alameda,106010846,Breast,44,-122.2312,37.79917,Highland Hospital
2015,Alameda,106010846,Stomach,2,-122.2312,37.79917,Highland Hospital
2017,Alameda,106010846,Colon,12,-122.2312,37.79917,Highland Hospital
2020,Alameda,106010846,Prostate,11,-122.23138,37.79925,Highland Hospital
2020,Alameda,106010846,Breast,46,-122.23138,37.79925,Highland Hospital
2021,Alameda,106010846,Colon,14,-122.23138,37.79925,Highland Hospital
2013,Alameda,106010846,Stomach,3,-122.2312,37.79917,Highland Hospital
2015,Alameda,106010846,Pancreas,2,-122.2312,37.79917,Highland Hospital
2020,Alameda,106010846,Stomach,3,-122.23138,37.79925,Highland Hospital
2017,Alameda,106010846,Rectum,8,-122.2312,37.79917,Highland Hospital
2021,Alameda,106010846,Lung,2,-122.23138,37.79925,Highland Hospital
2020,Alameda,106010846,Esophagus,1,-122.23138,37.79925,Highland Hospital
2014,Alameda,106010846,Colon,20,-122.2312,37.79917,Highland Hospital
2014,Alameda,106010846,Stomach,1,-122.2312,37.79917,Highland Hospital
2016,Alameda,106010846,Liver,1,-122.2312,37.79917,Highland Hospital
2021,Alameda,106010846,Stomach,1,-122.23138,37.79925,Highland Hospital
2017,Alameda,106010846,Breast,38,-122.2312,37.79917,Highland Hospital
2019,Alameda,106010846,Lung,8,-122.23138,37.79925,Highland Hospital
2016,Alameda,106010846,Colon,13,-122.2312,37.79917,Highland Hospital
2017,Alameda,106010846,Pancreas,2,-122.2312,37.79917,Highland Hospital
2017,Alameda,106010846,Stomach,2,-122.2312,37.79917,Highland Hospital
2014,Alameda,106010856,Pancreas,11,-122.25792,37.82425,Kaiser Foundation Hospital – Oakland Campus
2014,Alameda,106010856,Prostate,15,-122.25792,37.82425,Kaiser Foundation Hospital – Oakland Campus
2014,Alameda,106010856,Bladder,13,-122.25792,37.82425,Kaiser Foundation Hospital – Oakland Campus
2014,Alameda,106010856,Stomach,10,-122.25792,37.82425,Kaiser Foundation Hospital – Oakland Campus
2013,Alameda,106010856,Lung,46,-122.25792,37.82425,Kaiser Foundation Hospital – Oakland Campus
2014,Alameda,106010856,Lung,20,-122.25792,37.82425,Kaiser Foundation Hospital – Oakland Campus
2014,Alameda,106010856,Colon,35,-122.25792,37.82425,Kaiser Foundation Hospital – Oakland Campus
2014,Alameda,106010856,Esophagus,10,-122.25792,37.82425,Kaiser Foundation Hospital – Oakland Campus
2013,Alameda,106010856,Esophagus,14,-122.25792,37.82425,Kaiser Foundation Hospital – Oakland Campus
2013,Alameda,106010856,Liver,13,-122.25792,37.82425,Kaiser Foundation Hospital – Oakland Campus
2013,Alameda,106010856,Colon,74,-122.25792,37.82425,Kaiser Foundation Hospital – Oakland Campus
2013,Alameda,106010856,Breast,293,-122.25792,37.82425,Kaiser Foundation Hospital – Oakland Campus
2013,Alameda,106010856,Rectum,24,-122.25792,37.82425,Kaiser Foundation Hospital – Oakland Campus
2013,Alameda,106010856,Stomach,14,-122.25792,37.82425,Kaiser Foundation Hospital – Oakland Campus
2013,Alameda,106010856,Bladder,21,-122.25792,37.82425,Kaiser Foundation Hospital – Oakland Campus
2014,Alameda,106010856,Liver,10,-122.25792,37.82425,Kaiser Foundation Hospital – Oakland Campus
2014,Alameda,106010856,Breast,159,-122.25792,37.82425,Kaiser Foundation Hospital – Oakland Campus
2013,Alameda,106010856,Pancreas,12,-122.25792,37.82425,Kaiser Foundation Hospital – Oakland Campus
2014,Alameda,106010856,Rectum,13,-122.25792,37.82425,Kaiser Foundation Hospital – Oakland Campus
2013,Alameda,106010856,Prostate,59,-122.25792,37.82425,Kaiser Foundation Hospital – Oakland Campus
2014,Alameda,106010858,Bladder,4,-122.09338,37.62593,Kaiser Foundation Hospital – Hayward
2013,Alameda,106010858,Lung,21,-122.09338,37.62593,Kaiser Foundation Hospital – Hayward
2014,Alameda,106010858,Colon,26,-122.09338,37.62593,Kaiser Foundation Hospital – Hayward
2014,Alameda,106010858,Liver,4,-122.09338,37.62593,Kaiser Foundation Hospital – Hayward
2013,Alameda,106010858,Colon,43,-122.09338,37.62593,Kaiser Foundation Hospital – Hayward
2014,Alameda,106010858,Breast,101,-122.09338,37.62593,Kaiser Foundation Hospital – Hayward
2014,Alameda,106010858,Prostate,2,-122.09338,37.62593,Kaiser Foundation Hospital – Hayward
2014,Alameda,106010858,Lung,7,-122.09338,37.62593,Kaiser Foundation Hospital – Hayward
2014,Alameda,106010858,Pancreas,1,-122.09338,37.62593,Kaiser Foundation Hospital – Hayward
2013,Alameda,106010858,Bladder,9,-122.09338,37.62593,Kaiser Foundation Hospital – Hayward
2014,Alameda,106010858,Stomach,5,-122.09338,37.62593,Kaiser Foundation Hospital – Hayward
2013,Alameda,106010858,Liver,10,-122.09338,37.62593,Kaiser Foundation Hospital – Hayward
2013,Alameda,106010858,Breast,194,-122.09338,37.62593,Kaiser Foundation Hospital – Hayward
2013,Alameda,106010858,Esophagus,1,-122.09338,37.62593,Kaiser Foundation Hospital – Hayward
2013,Alameda,106010858,Rectum,19,-122.09338,37.62593,Kaiser Foundation Hospital – Hayward
2014,Alameda,106010858,Rectum,6,-122.09338,37.62593,Kaiser Foundation Hospital – Hayward
2013,Alameda,106010858,Pancreas,6,-122.09338,37.62593,Kaiser Foundation Hospital – Hayward
2013,Alameda,106010858,Prostate,2,-122.09338,37.62593,Kaiser Foundation Hospital – Hayward
2013,Alameda,106010858,Stomach,7,-122.09338,37.62593,Kaiser Foundation Hospital – Hayward
2018,Alameda,106010887,Rectum,1,-122.13119,37.71621,Kindred Hospital – San Francisco Bay Area
2021,Alameda,106010937,Liver,8,-122.26257,37.82106,Alta Bates Summit Medical Center
2018,Alameda,106010937,Pancreas,13,-122.26257,37.82106,Alta Bates Summit Medical Center
2015,Alameda,106010937,Lung,12,-122.26257,37.82106,Alta Bates Summit Medical Center
2016,Alameda,106010937,Pancreas,6,-122.26257,37.82106,Alta Bates Summit Medical Center
2014,Alameda,106010937,Breast,311,-122.26257,37.82106,Alta Bates Summit Medical Center
2015,Alameda,106010937,Prostate,15,-122.26257,37.82106,Alta Bates Summit Medical Center
2021,Alameda,106010937,Esophagus,6,-122.26257,37.82106,Alta Bates Summit Medical Center
2013,Alameda,106010937,Prostate,19,-122.26257,37.82106,Alta Bates Summit Medical Center
2021,Alameda,106010937,Pancreas,3,-122.26257,37.82106,Alta Bates Summit Medical Center
2014,Alameda,106010937,Pancreas,6,-122.26257,37.82106,Alta Bates Summit Medical Center
2019,Alameda,106010937,Colon,48,-122.26257,37.82106,Alta Bates Summit Medical Center
2019,Alameda,106010937,Lung,26,-122.26257,37.82106,Alta Bates Summit Medical Center
2020,Alameda,106010937,Lung,22,-122.26257,37.82106,Alta Bates Summit Medical Center
2013,Alameda,106010937,Colon,43,-122.26257,37.82106,Alta Bates Summit Medical Center
2020,Alameda,106010937,Rectum,22,-122.26257,37.82106,Alta Bates Summit Medical Center
2017,Alameda,106010937,Stomach,15,-122.26257,37.82106,Alta Bates Summit Medical Center
2020,Alameda,106010937,Breast,259,-122.26257,37.82106,Alta Bates Summit Medical Center
2019,Alameda,106010937,Breast,298,-122.26257,37.82106,Alta Bates Summit Medical Center
2015,Alameda,106010937,Breast,215,-122.26257,37.82106,Alta Bates Summit Medical Center
2019,Alameda,106010937,Stomach,15,-122.26257,37.82106,Alta Bates Summit Medical Center
2021,Alameda,106010937,Breast,369,-122.26257,37.82106,Alta Bates Summit Medical Center
2014,Alameda,106010937,Prostate,24,-122.26257,37.82106,Alta Bates Summit Medical Center
2016,Alameda,106010937,Breast,292,-122.26257,37.82106,Alta Bates Summit Medical Center
2020,Alameda,106010937,Bladder,1,-122.26257,37.82106,Alta Bates Summit Medical Center
2013,Alameda,106010937,Breast,208,-122.26257,37.82106,Alta Bates Summit Medical Center
2019,Alameda,106010937,Esophagus,1,-122.26257,37.82106,Alta Bates Summit Medical Center
2017,Alameda,106010937,Liver,7,-122.26257,37.82106,Alta Bates Summit Medical Center
2015,Alameda,106010937,Liver,9,-122.26257,37.82106,Alta Bates Summit Medical Center
2015,Alameda,106010937,Colon,49,-122.26257,37.82106,Alta Bates Summit Medical Center
2016,Alameda,106010937,Colon,88,-122.26257,37.82106,Alta Bates Summit Medical Center
2013,Alameda,106010937,Rectum,14,-122.26257,37.82106,Alta Bates Summit Medical Center
2018,Alameda,106010937,Liver,9,-122.26257,37.82106,Alta Bates Summit Medical Center
2020,Alameda,106010937,Colon,51,-122.26257,37.82106,Alta Bates Summit Medical Center
2018,Alameda,106010937,Rectum,28,-122.26257,37.82106,Alta Bates Summit Medical Center
2017,Alameda,106010937,Rectum,28,-122.26257,37.82106,Alta Bates Summit Medical Center
2016,Alameda,106010937,Bladder,2,-122.26257,37.82106,Alta Bates Summit Medical Center
2020,Alameda,106010937,Pancreas,6,-122.26257,37.82106,Alta Bates Summit Medical Center
2018,Alameda,106010937,Stomach,15,-122.26257,37.82106,Alta Bates Summit Medical Center
2021,Alameda,106010937,Lung,24,-122.26257,37.82106,Alta Bates Summit Medical Center
2018,Alameda,106010937,Colon,63,-122.26257,37.82106,Alta Bates Summit Medical Center
2019,Alameda,106010937,Bladder,5,-122.26257,37.82106,Alta Bates Summit Medical Center
2013,Alameda,106010937,Esophagus,2,-122.26257,37.82106,Alta Bates Summit Medical Center
2017,Alameda,106010937,Lung,23,-122.26257,37.82106,Alta Bates Summit Medical Center
2014,Alameda,106010937,Liver,7,-122.26257,37.82106,Alta Bates Summit Medical Center
2015,Alameda,106010937,Pancreas,2,-122.26257,37.82106,Alta Bates Summit Medical Center
2017,Alameda,106010937,Breast,303,-122.26257,37.82106,Alta Bates Summit Medical Center
2018,Alameda,106010937,Prostate,25,-122.26257,37.82106,Alta Bates Summit Medical Center
2014,Alameda,106010937,Lung,15,-122.26257,37.82106,Alta Bates Summit Medical Center
2015,Alameda,106010937,Esophagus,1,-122.26257,37.82106,Alta Bates Summit Medical Center
